NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
"Fujian Quanzhou Zhenyue Arts & Crafts Co., Ltd.","Fujian Quanzhou Zhenyue Arts & Crafts Co., Ltd.",Chinese Mainland,"Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium",,Exhibitor,Hong Kong Gifts & Premium Fair 2025,1B-A24,Deluxe Gift Ideas,,1,,,"Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM",https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005I1L8,16,https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X20GZ03; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X20HJKV; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X20HJJW; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O6MTZ; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O6MUW; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O6MPB; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O6MVT; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O6MZH; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O6MWQ; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O6MXN; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X1SK990; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O6MQ8; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X25KPX0; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X25KPV2; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X20HJLU; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X20GZGN
"Ap Group (China) Co., Ltd.","Ap Group (China) Co., Ltd.",Chinese Mainland,"Artist Supply,Note Book,Memo Pad,Paper & Paper Product,Gift Stationery,File","Artist Supply,Note Book,Memo Pad,Paper & Paper Product,Gift Stationery,File",,Exhibitor,Hong Kong Gifts & Premium Fair 2025,1C-E06,Hall of Fine Designs,,1,,,"Artist Supply,Note Book,Memo Pad,Paper & Paper Product,Gift Stationery,File; Notebook, Journal, Diary, Binder, Calendar etc.; OEM, OBM, ODM","Artist Supply,Note Book,Memo Pad,Paper & Paper Product,Gift Stationery,File; Notebook, Journal, Diary, Binder, Calendar etc.; OEM, OBM, ODM",https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005HGPH,16,https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NA0M6; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NA1B2; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03E69PO; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03E69L0; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03E69OR; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03E69SF; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X27ICPB; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X27ICLF; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X27I8XF; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X27I8TJ; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X27I8QM; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X27I8OO; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03E69NU; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03E69QL; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03E69MX; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03E69RI
"Fujian Challenge Wolves Tech. Co., Ltd","Fujian Challenge Wolves Tech. Co., Ltd",Chinese Mainland,"Backpack,Shopping Bag,Cooler Bag,Halloween Product,Festival Item,Recycled Plastic Product,Bio-Degradable Product,Environmental Friendly Product","Backpack,Shopping Bag,Cooler Bag,Halloween Product,Festival Item,Recycled Plastic Product,Bio-Degradable Product,Environmental Friendly Product",,Exhibitor,Hong Kong Gifts & Premium Fair 2025,1C-A24,Deluxe Gift Ideas,,1,,,"Backpack,Shopping Bag,Cooler Bag,Halloween Product,Festival Item,Recycled Plastic Product,Bio-Degradable Product,Environmental Friendly Product; Non woven bag.; OEM","Backpack,Shopping Bag,Cooler Bag,Halloween Product,Festival Item,Recycled Plastic Product,Bio-Degradable Product,Environmental Friendly Product; Non woven bag.; OEM",https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005EUKI,16,https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X25JA51; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X25JA7Z; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X25JA60; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03G7QQ4; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X2022L9; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X2022IC; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X2022HD; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03K4DDK; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03KCPHW; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03G7R09; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03K4EFD; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03K4FJ0; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03KCPE5; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03G7RE3; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03KCPGZ; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03KCPF2
"CQC Supply Chain Management Co., Ltd.","CQC Supply Chain Management Co., Ltd.",Chinese Mainland,"Souvenir & Premium, Decoration & Craft, Magnetic Premium","Souvenir & Premium, Decoration & Craft, Magnetic Premium",,Exhibitor,Hong Kong Gifts & Premium Fair 2025,1E-A34,Deluxe Gift Ideas,,1,,,"Souvenir & Premium, Decoration & Craft, Magnetic Premium; Souvenir items.; OEM","Souvenir & Premium, Decoration & Craft, Magnetic Premium; Souvenir items.; OEM",https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005I02U,1,https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03ME9MX
"Quanzhou Extraworld Imp & Exp Trading Co., Ltd.","Quanzhou Extraworld Imp & Exp Trading Co., Ltd.",Chinese Mainland,"Ceramic Flower Vase,Decoration & Craft,Souvenir & Premium,Festival Item","Ceramic Flower Vase,Decoration & Craft,Souvenir & Premium,Festival Item",,Exhibitor,Hong Kong Gifts & Premium Fair 2025,1E-B36,Deluxe Gift Ideas,,1,,,"Ceramic Flower Vase,Decoration & Craft,Souvenir & Premium,Festival Item; Ceramic arts; OEM","Ceramic Flower Vase,Decoration & Craft,Souvenir & Premium,Festival Item; Ceramic arts; OEM",https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005EUGU,5,https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03M4AZT; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03M4B3G; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03M4FDI; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03M4F49; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03M4F70
China Pearl (HK) Company Limited,China Pearl (HK) Company Limited,Hong Kong,"Established in Hong Kong since 1993, China Pearl (HK) Company Limited has been devoted to producing unique tableware with excellent quality over the years. Our sales, merchandising, logistic and design teams work closely together with our fully audited factory partners to ensure our customers receive the best in terms of products, designs, pricing, services & shipments. We are offering series of ""Thomson Pottery"" brand tableware, which are marketed world-wide and are well received by numerous customers. Finished with superior quality, each piece of our products is suitable for microwave and dishwasher use. All our goods are also meeting with food contact testing standards. Our main product lines include everyday casual dinnerware sets in different compositions as well as practical tabletop and kitchen accessories, such as embossed, pad printing, antique & distressed effect, wax-resist & textured, matte & gloss finish, solid color glazed porcelain & stoneware.","Established in Hong Kong since 1993, China Pearl (HK) Company Limited has been devoted to producing unique tableware with excellent quality over the years. Our sales, merchandising, logistic and design teams work closely together with our fully audited factory partners to ensure our customers receive the best in terms of products, designs, pricing, services & shipments. We are offering series of ""Thomson Pottery"" brand tableware, which are marketed world-wide and are well received by numerous customers. Finished with superior quality, each piece of our products is suitable for microwave and dishwasher use. All our goods are also meeting with food contact testing standards. Our main product lines include everyday casual dinnerware sets in different compositions as well as practical tabletop and kitchen accessories, such as embossed, pad printing, antique & distressed effect, wax-resist & textured, matte & gloss finish, solid color glazed porcelain & stoneware.",,Exhibitor,Hong Kong Gifts & Premium Fair 2025,1E-D04,Hall of Fine Designs,,1,,,"Mug,Advertising Premium,Environmental Friendly Product; Ceramic Tableware with matching accessories; OEM, ODM","Mug,Advertising Premium,Environmental Friendly Product; Ceramic Tableware with matching accessories; OEM, ODM",https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005J1SN,13,https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NZLLO; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NX0II; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NX0L9; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NNTBA; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NX0KC; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NX0N3; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NXNQ7; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NWXVI; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NX0HL; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NX0JF; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O4RKL; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NZLJU; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NXNPA
"Guangdong Woodsun Housewares Co., Ltd.","Guangdong Woodsun Housewares Co., Ltd.",Chinese Mainland,"Mug,Advertising Premium","Mug,Advertising Premium",,Exhibitor,Hong Kong Gifts & Premium Fair 2025,1D-B01,Hall of Fine Designs,Cantonese Business Go Global,1,,,"Mug,Advertising Premium; Hydration bottles and Plastic products, Electric water cup; OEM, ODM","Mug,Advertising Premium; Hydration bottles and Plastic products, Electric water cup; OEM, ODM",https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005J9GF,20,https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O60KC; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O60II; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O60GO; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O60B3; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O608C; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O607F; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O606I; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O604O; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O603R; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O461R; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03K54A2; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03K52ES; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03K4SVN; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03K5F56; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03K4Y2W; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03K4V8H; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03K5E71; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03K4LZI; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03K4YPZ; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03K4LF6
"Hangzhou Guangzhong Imp & Exp co.,Ltd","Hangzhou Guangzhong Imp & Exp co.,Ltd",Chinese Mainland,Stationery & Office Equipment,Stationery & Office Equipment,,Exhibitor,Hong Kong Gifts & Premium Fair 2025,1C-A02,Deluxe Gift Ideas,,1,,,"Stationery & Office Equipment; Ballpoint Pen; OEM, ODM","Stationery & Office Equipment; Ballpoint Pen; OEM, ODM",https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005EU3X,20,https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O4G62; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O4G7Z; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O4G8W; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O4G9T; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O4GAQ; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O4GBN; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O4GCK; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O4GDH; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O4GEE; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O4FS9; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O3ALZ; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O3AGE; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O3A75; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O3AFH; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O3A9Z; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O3A2K; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O3AEK; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O3AK2; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O3ADN; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03O3ACQ
Max Concept Enterprises Limited,Max Concept Enterprises Limited,Hong Kong,,,,Exhibitor,Hong Kong Gifts & Premium Fair 2025,5C-C02,The Hong Kong Exporters' Association Pavilion - Smart Design HK,,1,,,,,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005M3UF,20,https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NK785; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NFHYP; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03MP6DR; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NFDT8; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NFAW2; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03MPW5P; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03MO990; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03MNXO3; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03MN969; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03ML1QT; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03MKAGE; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03MK73K; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03LDNOD; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03MLKJV; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03ML9FI; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03MLD2H; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03MLBI7; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03MK50V; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03MKW6M; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03MKIVX
Top Orient Enterprise Limited,Top Orient Enterprise Limited,Hong Kong,"Cooler Bag,Hobby & Collector's Item,Earphone,Speaker,Radio,Audio-Visual Product,USB Flash Drive,Computer Peripherals & Accessories,Mobile Phone Accessory,Power Bank","Cooler Bag,Hobby & Collector's Item,Earphone,Speaker,Radio,Audio-Visual Product,USB Flash Drive,Computer Peripherals & Accessories,Mobile Phone Accessory,Power Bank",,Exhibitor,Hong Kong Gifts & Premium Fair 2025,3B-B32,Tech Gifts,,1,,,"Cooler Bag,Hobby & Collector's Item,Earphone,Speaker,Radio,Audio-Visual Product,USB Flash Drive,Computer Peripherals & Accessories,Mobile Phone Accessory,Power Bank; MP3 player, Solar Charger, Flashlight, Power Bank, Radio, Outdoor Items; ODM, OEM, OBM","Cooler Bag,Hobby & Collector's Item,Earphone,Speaker,Radio,Audio-Visual Product,USB Flash Drive,Computer Peripherals & Accessories,Mobile Phone Accessory,Power Bank; MP3 player, Solar Charger, Flashlight, Power Bank, Radio, Outdoor Items; ODM, OEM, OBM",https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005IXC3,20,https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03OKJG5; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03OKJ38; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03MTGZN; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03OKJ2B; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NUHI1; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NUHFA; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NUHDG; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NUHCJ; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NUHJY; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NUHG7; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NUHH4; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NUHED; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NRZ9A; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1X1TOM60; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NU4VB; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NU4W8; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NUHKV; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NUD72; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NT0GO; https://www.hktdc.com/event/hkgiftspremiumfair/en/product/1Z03NT0DX
