NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
Guojiao 1573．Spirit of China,Guojiao 1573．Spirit of China,GUOJIAO 1573 · Spirit of China is the greatest representative of Chinese traditional culture and craftsmanship which passed on over centuries. It is a commemorative baijiu specially made in honor of GUOJIAO 1573 which is included in UN preliminary list as the world’s tangible cultural heritage and the traditional brewing craftsmanship of Luzhou Laojiao liquor as the world’s intangible heritage.,GUOJIAO 1573 · Spirit of China is the greatest representative of Chinese traditional culture and craftsmanship which passed on over centuries. It is a commemorative baijiu specially made in honor of GUOJIAO 1573 which is included in UN preliminary list as the world’s tangible cultural heritage and the traditional brewing craftsmanship of Luzhou Laojiao liquor as the world’s intangible heritage.,,,,"Luzhou Laojiao International Development (Hong Kong) Co., Ltd.",Chinese Baijiu; Others,Chinese Baijiu; Others
Guojiao 1573．Beautiful Hong Kong,Guojiao 1573．Beautiful Hong Kong,"A tribute to Hong Kong with the strong aroma of China’s national spirit.; Skyscrapers, Victoria Harbour sails, and the Golden Bauhinia shine on the bottle — honoring the Lion Rock spirit with every sip.","A tribute to Hong Kong with the strong aroma of China’s national spirit.; Skyscrapers, Victoria Harbour sails, and the Golden Bauhinia shine on the bottle — honoring the Lion Rock spirit with every sip.",,,,"Luzhou Laojiao International Development (Hong Kong) Co., Ltd.",Chinese Baijiu; Others,Chinese Baijiu; Others
GUOJIAO 1573 · Classic,GUOJIAO 1573 · Classic,"The classic high-end product and standard boutique for appreciating the Chinese baijiu. GUOJIAO 1573 · Classic originates from a Cultural Relic of National Importance -- the earliest construction in China (founded in 1573), the longest continuous use, the most protected of the Cellars of National Treasure 1573. Handcrafted with the traditional brewing technique of Luzhou Laojiao which has selected as the first batch of national intangible cultural heritage. All distillates of Guojiao 1573 · Classic must be of ageing for 5 years to decades in natural cave. It is crisp, mellow, smooth and lingering with unique and typical aromas of the cellars.","The classic high-end product and standard boutique for appreciating the Chinese baijiu. GUOJIAO 1573 · Classic originates from a Cultural Relic of National Importance -- the earliest construction in China (founded in 1573), the longest continuous use, the most protected of the Cellars of National Treasure 1573. Handcrafted with the traditional brewing technique of Luzhou Laojiao which has selected as the first batch of national intangible cultural heritage. All distillates of Guojiao 1573 · Classic must be of ageing for 5 years to decades in natural cave. It is crisp, mellow, smooth and lingering with unique and typical aromas of the cellars.",,,,"Luzhou Laojiao International Development (Hong Kong) Co., Ltd.",Chinese Baijiu; Others,Chinese Baijiu; Others
Luzhou Laojiao．Antique Edition,Luzhou Laojiao．Antique Edition,"Finely selected from the region of Luzhou, Sichuan Province, the red glutinous sorghum is fermented in the historical fermentation pits and blended to the perfection. Before releasing, it is bottled in an exquisite Chinese clay bottle. Owing to the fact that the clay bottle is porous, the baijiu kept in the bottle can actually ‘breathe’. It is therefore rightly claimed as a ‘living baijiu’. With red glutinous sorghum grown specifically in Luzhou, Sichuan province as the ingredient, Luzhou Laojiao · Antique Edition brewed from old fermentation pits with hundreds years of history. It was then bottled in a clay bottle after exquisite blending by our baijiu master.","Finely selected from the region of Luzhou, Sichuan Province, the red glutinous sorghum is fermented in the historical fermentation pits and blended to the perfection. Before releasing, it is bottled in an exquisite Chinese clay bottle. Owing to the fact that the clay bottle is porous, the baijiu kept in the bottle can actually ‘breathe’. It is therefore rightly claimed as a ‘living baijiu’. With red glutinous sorghum grown specifically in Luzhou, Sichuan province as the ingredient, Luzhou Laojiao · Antique Edition brewed from old fermentation pits with hundreds years of history. It was then bottled in a clay bottle after exquisite blending by our baijiu master.",,,,"Luzhou Laojiao International Development (Hong Kong) Co., Ltd.",Chinese Baijiu; Others,Chinese Baijiu; Others
New make whisky spirit (per LPA),New make whisky spirit (per LPA),"World class new make whisky spirit made from any one or a combination of the following Tasmanian grains:; Tasmania's cool, maritime climate is ideal for maturing whisky. Please see our b onded warehousing, maturation and barrel management service listing to learn more about storing your barrels with Greenbanks.","World class new make whisky spirit made from any one or a combination of the following Tasmanian grains:; Tasmania's cool, maritime climate is ideal for maturing whisky. Please see our b onded warehousing, maturation and barrel management service listing to learn more about storing your barrels with Greenbanks.",,,,GREENBANKS DISTILLING CO. PTY LTD,"Whisky; Malted barley, wheat, rye, corn, three-grain new make spirit
Malted barley, wheat, rye, corn, three-grain one-year-old whisky
Three-year-old single malt whisky 
Four-year-old rye whisky; ODM, OEM, OBM","Whisky; Malted barley, wheat, rye, corn, three-grain new make spirit
Malted barley, wheat, rye, corn, three-grain one-year-old whisky
Three-year-old single malt whisky 
Four-year-old rye whisky; ODM, OEM, OBM"
Greenbanks private whisky barrel,Greenbanks private whisky barrel,"Buy your own 200-litre barrel of Tasmanian malt whisky.; This offer includes storage and maturation of each barrel in our licensed bond store located in southern Tasmania for a minimum of three years from the barrel fill date. All costs associated with the storage for three years, including barrel management, handling and insurance are included in the offer price.*; You will receive a certificate of ownership for each barrel purchased.; After three years and each year thereafter, you have three options:; 1) to extend the barrel time under maturation at a cost of approximately US $68 per barrel per year;; 2) to sell your whisky (there may be a small administration and handling fee to facilitate this); or; 3) to have your whisky bottled or packaged in bulk containers for shipment to you.; More information available at https://greenbankstasmanianwhisky.co/buy-a-barrel/.; * Price excludes Australian duties and excise. Terms and conditions apply.","Buy your own 200-litre barrel of Tasmanian malt whisky.; This offer includes storage and maturation of each barrel in our licensed bond store located in southern Tasmania for a minimum of three years from the barrel fill date. All costs associated with the storage for three years, including barrel management, handling and insurance are included in the offer price.*; You will receive a certificate of ownership for each barrel purchased.; After three years and each year thereafter, you have three options:; 1) to extend the barrel time under maturation at a cost of approximately US $68 per barrel per year;; 2) to sell your whisky (there may be a small administration and handling fee to facilitate this); or; 3) to have your whisky bottled or packaged in bulk containers for shipment to you.; More information available at https://greenbankstasmanianwhisky.co/buy-a-barrel/.; * Price excludes Australian duties and excise. Terms and conditions apply.",,,,GREENBANKS DISTILLING CO. PTY LTD,"Whisky; Malted barley, wheat, rye, corn, three-grain new make spirit
Malted barley, wheat, rye, corn, three-grain one-year-old whisky
Three-year-old single malt whisky 
Four-year-old rye whisky; ODM, OEM, OBM","Whisky; Malted barley, wheat, rye, corn, three-grain new make spirit
Malted barley, wheat, rye, corn, three-grain one-year-old whisky
Three-year-old single malt whisky 
Four-year-old rye whisky; ODM, OEM, OBM"
Haselgrove Staff Chardonnay,Haselgrove Staff Chardonnay,Haselgrove Staff Chardonnay,Haselgrove Staff Chardonnay,,,,Haselgrove Wines Pty Ltd,Wine; Wine Sales; Others,Wine; Wine Sales; Others
Haselgrove Protector Cabernet NV,Haselgrove Protector Cabernet NV,Haselgrove Protector Cabernet NV,Haselgrove Protector Cabernet NV,,,,Haselgrove Wines Pty Ltd,Wine; Wine Sales; Others,Wine; Wine Sales; Others
FC Pinot Grigio,FC Pinot Grigio,FC Pinot Grigio,FC Pinot Grigio,,,,Haselgrove Wines Pty Ltd,Wine; Wine Sales; Others,Wine; Wine Sales; Others
Haselgrove Catkin Shiraz NV,Haselgrove Catkin Shiraz NV,Haselgrove Catkin Shiraz NV,Haselgrove Catkin Shiraz NV,,,,Haselgrove Wines Pty Ltd,Wine; Wine Sales; Others,Wine; Wine Sales; Others
H by Haselgrove Shiraz 2021,H by Haselgrove Shiraz 2021,Produced from Premium South Australian Fruit to Yield Wines with Great Drinkability,Produced from Premium South Australian Fruit to Yield Wines with Great Drinkability,,,,Haselgrove Wines Pty Ltd,Wine; Wine Sales; Others,Wine; Wine Sales; Others
Haselgrove First Cut Shiraz,Haselgrove First Cut Shiraz,Haselgrove First Cut Shiraz,Haselgrove First Cut Shiraz,,,,Haselgrove Wines Pty Ltd,Wine; Wine Sales; Others,Wine; Wine Sales; Others
