NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
New Arrival Mini Snow Globe,New Arrival Mini Snow Globe,New Arrival Mini Snow Globe,New Arrival Mini Snow Globe,,,,"Fujian Quanzhou Zhenyue Arts & Crafts Co., Ltd.","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM"
Bbobble Head,Bbobble Head,"Material:Resin/Polyresin/Fiberglass; Size:customized; Packaging:styrofoam and white box; Delivery time:45days; Sample :15days; We are more than 15years Manufacturer,and have more than 200workers,We have three factory,two resin's factory,one fiberglass factory.Customized product is our main business.; Every year, our factory passes the inspection of SEDEX and Walmart; In addition, our factory is the authorized supplier of  many well-known brands.","Material:Resin/Polyresin/Fiberglass; Size:customized; Packaging:styrofoam and white box; Delivery time:45days; Sample :15days; We are more than 15years Manufacturer,and have more than 200workers,We have three factory,two resin's factory,one fiberglass factory.Customized product is our main business.; Every year, our factory passes the inspection of SEDEX and Walmart; In addition, our factory is the authorized supplier of  many well-known brands.",,,,"Fujian Quanzhou Zhenyue Arts & Crafts Co., Ltd.","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM"
Resin Snowglobe,Resin Snowglobe,1.Resin inside and base with glass globe.; 2.100mm for diameter.; 3.OEM and ODM welcome; 4.styrofoam+ white box or available packing can be accepted.; 5.7-15days for sample date; 6.45days for delivery date,1.Resin inside and base with glass globe.; 2.100mm for diameter.; 3.OEM and ODM welcome; 4.styrofoam+ white box or available packing can be accepted.; 5.7-15days for sample date; 6.45days for delivery date,,,,"Fujian Quanzhou Zhenyue Arts & Crafts Co., Ltd.","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM"
Simple Angel Design Snow Ball,Simple Angel Design Snow Ball,Simple Angel Design Snow Ball,Simple Angel Design Snow Ball,,,,"Fujian Quanzhou Zhenyue Arts & Crafts Co., Ltd.","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM"
Effiel Tower Snow Globe for Souvenir,Effiel Tower Snow Globe for Souvenir,Effiel Tower Snow Globe for Souvenir,Effiel Tower Snow Globe for Souvenir,,,,"Fujian Quanzhou Zhenyue Arts & Crafts Co., Ltd.","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM"
Resin Customized Snow Globe,Resin Customized Snow Globe,Resin Customized Snow Globe,Resin Customized Snow Globe,,,,"Fujian Quanzhou Zhenyue Arts & Crafts Co., Ltd.","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM"
Cute Animal Snow Water Globe,Cute Animal Snow Water Globe,Cute Animal Snow Water Globe,Cute Animal Snow Water Globe,,,,"Fujian Quanzhou Zhenyue Arts & Crafts Co., Ltd.","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM"
Fridge Magnet,Fridge Magnet,Decorate your fridge with famous places around the world by using this fridge magnet. It comes in the design of an artistic scenic spot and can be securely attached to metallic surfaces. This fridge magnet flaunts meticulous craftsmanship and is excellent for souvenir and gift use.,Decorate your fridge with famous places around the world by using this fridge magnet. It comes in the design of an artistic scenic spot and can be securely attached to metallic surfaces. This fridge magnet flaunts meticulous craftsmanship and is excellent for souvenir and gift use.,,,,"Fujian Quanzhou Zhenyue Arts & Crafts Co., Ltd.","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM","Key Chain,Key Holder,Advertising Premium,Fridge Magnet,Magnetic Premium,Souvenir & Premium; Ceramic Crafts.; ODM, OEM"
New Style Pu Stamping Foil Perfect Binding Notebook,New Style Pu Stamping Foil Perfect Binding Notebook,combination pu notebook; soft cover pu notebook; custom debossed journal; stamping foil; perfect binding notebook,combination pu notebook; soft cover pu notebook; custom debossed journal; stamping foil; perfect binding notebook,,,,"Ap Group (China) Co., Ltd.","Artist Supply,Note Book,Memo Pad,Paper & Paper Product,Gift Stationery,File; Notebook, Journal, Diary, Binder, Calendar etc.; OEM, OBM, ODM","Artist Supply,Note Book,Memo Pad,Paper & Paper Product,Gift Stationery,File; Notebook, Journal, Diary, Binder, Calendar etc.; OEM, OBM, ODM"
Seed Paper PVC Spiral Binding Notebook,Seed Paper PVC Spiral Binding Notebook,Seed Paper PVC Spiral Binding Notebook,Seed Paper PVC Spiral Binding Notebook,,,,"Ap Group (China) Co., Ltd.","Artist Supply,Note Book,Memo Pad,Paper & Paper Product,Gift Stationery,File; Notebook, Journal, Diary, Binder, Calendar etc.; OEM, OBM, ODM","Artist Supply,Note Book,Memo Pad,Paper & Paper Product,Gift Stationery,File; Notebook, Journal, Diary, Binder, Calendar etc.; OEM, OBM, ODM"
Fashion Spiral Notebook,Fashion Spiral Notebook,Fashion Spiral Notebook,Fashion Spiral Notebook,,,,"Ap Group (China) Co., Ltd.","Artist Supply,Note Book,Memo Pad,Paper & Paper Product,Gift Stationery,File; Notebook, Journal, Diary, Binder, Calendar etc.; OEM, OBM, ODM","Artist Supply,Note Book,Memo Pad,Paper & Paper Product,Gift Stationery,File; Notebook, Journal, Diary, Binder, Calendar etc.; OEM, OBM, ODM"
Seed Paper Top Binding Notebook,Seed Paper Top Binding Notebook,Seed Paper Top Binding Notebook,Seed Paper Top Binding Notebook,,,,"Ap Group (China) Co., Ltd.","Artist Supply,Note Book,Memo Pad,Paper & Paper Product,Gift Stationery,File; Notebook, Journal, Diary, Binder, Calendar etc.; OEM, OBM, ODM","Artist Supply,Note Book,Memo Pad,Paper & Paper Product,Gift Stationery,File; Notebook, Journal, Diary, Binder, Calendar etc.; OEM, OBM, ODM"
Smile face Stamping Foil Pastel Color Notebook Custom Softouch Fashion Notebook With Spot UV,Smile face Stamping Foil Pastel Color Notebook Custom Softouch Fashion Notebook With Spot UV,fashion spiral notebook; art paper printing; soft touch lamination; stamping foil; uv coating; colorful oil edge; belly band,fashion spiral notebook; art paper printing; soft touch lamination; stamping foil; uv coating; colorful oil edge; belly band,,,,"Ap Group (China) Co., Ltd.","Artist Supply,Note Book,Memo Pad,Paper & Paper Product,Gift Stationery,File; Notebook, Journal, Diary, Binder, Calendar etc.; OEM, OBM, ODM","Artist Supply,Note Book,Memo Pad,Paper & Paper Product,Gift Stationery,File; Notebook, Journal, Diary, Binder, Calendar etc.; OEM, OBM, ODM"
