NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
Pork,Pork,Pork,Pork,,,,Ng Fung Hong Limited,"Fruit Juice,Frozen Meat,Canned Food,Candy,Seasoning,Chinese Liquor,Macaroni,Noodle,Rice Noodle,Fruit,Rice; Ng Fung Hong Limited's business in Hong Kong includes Ng Fung Fresh Meat, Frozen Aquatic Products, Chilled Pork, Chilled Poultry and Fresh Beef and Lamb, etc., while its agency business includes alcoholic beverages, poultry and eggs, rice and noodles","Fruit Juice,Frozen Meat,Canned Food,Candy,Seasoning,Chinese Liquor,Macaroni,Noodle,Rice Noodle,Fruit,Rice; Ng Fung Hong Limited's business in Hong Kong includes Ng Fung Fresh Meat, Frozen Aquatic Products, Chilled Pork, Chilled Poultry and Fresh Beef and Lamb, etc., while its agency business includes alcoholic beverages, poultry and eggs, rice and noodles"
Anti Dandruff Paste Shampoo,Anti Dandruff Paste Shampoo,Anti Dandruff Paste Shampoo,Anti Dandruff Paste Shampoo,,,,Chuan Chiong Co. Ltd.,"Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products","Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products"
Lung Ching Tea,Lung Ching Tea,Lung Ching Tea,Lung Ching Tea,,,,Chuan Chiong Co. Ltd.,"Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products","Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products"
Cold Cream,Cold Cream,Cold Cream,Cold Cream,,,,Chuan Chiong Co. Ltd.,"Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products","Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products"
Rose Wood Liquid Body Soap,Rose Wood Liquid Body Soap,Rose Wood Liquid Body Soap,Rose Wood Liquid Body Soap,,,,Chuan Chiong Co. Ltd.,"Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products","Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products"
Lemon Paste Shampoo,Lemon Paste Shampoo,Lemon Paste Shampoo,Lemon Paste Shampoo,,,,Chuan Chiong Co. Ltd.,"Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products","Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products"
Tieguanyin,Tieguanyin,Tieguanyin,Tieguanyin,,,,Chuan Chiong Co. Ltd.,"Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products","Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products"
Sandal Wood Liquid Body Soap,Sandal Wood Liquid Body Soap,Sandal Wood Liquid Body Soap,Sandal Wood Liquid Body Soap,,,,Chuan Chiong Co. Ltd.,"Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products","Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products"
Green Tea,Green Tea,Green Tea,Green Tea,,,,Chuan Chiong Co. Ltd.,"Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products","Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products"
Oolong Tea,Oolong Tea,Oolong Tea,Oolong Tea,,,,Chuan Chiong Co. Ltd.,"Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products","Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products"
Jasmine Liquid Body Soap,Jasmine Liquid Body Soap,Jasmine Liquid Body Soap,Jasmine Liquid Body Soap,,,,Chuan Chiong Co. Ltd.,"Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products","Health Supplement; Chinese Medicines, Honey, Foods, Personal Care Products"
Ferrero Rocher Chocolate,Ferrero Rocher Chocolate,Ferrero Rocher Chocolate,Ferrero Rocher Chocolate,,,,"HongKong Deya International Trade Co., Limited","Snack,Biscuit,Candy,Chocolate; GPR PURE BUTTER COOKIES, KahlenBerg CHOCOLATE, Le Miel Dried Mango, FLIS wafers","Snack,Biscuit,Candy,Chocolate; GPR PURE BUTTER COOKIES, KahlenBerg CHOCOLATE, Le Miel Dried Mango, FLIS wafers"
Kieldsens Cookies,Kieldsens Cookies,Kieldsens Cookies,Kieldsens Cookies,,,,"HongKong Deya International Trade Co., Limited","Snack,Biscuit,Candy,Chocolate; GPR PURE BUTTER COOKIES, KahlenBerg CHOCOLATE, Le Miel Dried Mango, FLIS wafers","Snack,Biscuit,Candy,Chocolate; GPR PURE BUTTER COOKIES, KahlenBerg CHOCOLATE, Le Miel Dried Mango, FLIS wafers"
Bombik Chocolate,Bombik Chocolate,Bombik Chocolate,Bombik Chocolate,,,,"HongKong Deya International Trade Co., Limited","Snack,Biscuit,Candy,Chocolate; GPR PURE BUTTER COOKIES, KahlenBerg CHOCOLATE, Le Miel Dried Mango, FLIS wafers","Snack,Biscuit,Candy,Chocolate; GPR PURE BUTTER COOKIES, KahlenBerg CHOCOLATE, Le Miel Dried Mango, FLIS wafers"
Ritter Sport Mini,Ritter Sport Mini,Ritter Sport Mini,Ritter Sport Mini,,,,"HongKong Deya International Trade Co., Limited","Snack,Biscuit,Candy,Chocolate; GPR PURE BUTTER COOKIES, KahlenBerg CHOCOLATE, Le Miel Dried Mango, FLIS wafers","Snack,Biscuit,Candy,Chocolate; GPR PURE BUTTER COOKIES, KahlenBerg CHOCOLATE, Le Miel Dried Mango, FLIS wafers"
Ferrero Rocher T30,Ferrero Rocher T30,Ferrero Rocher T30,Ferrero Rocher T30,,,,"HongKong Deya International Trade Co., Limited","Snack,Biscuit,Candy,Chocolate; GPR PURE BUTTER COOKIES, KahlenBerg CHOCOLATE, Le Miel Dried Mango, FLIS wafers","Snack,Biscuit,Candy,Chocolate; GPR PURE BUTTER COOKIES, KahlenBerg CHOCOLATE, Le Miel Dried Mango, FLIS wafers"
Balin Bombik Chocolate Ball,Balin Bombik Chocolate Ball,Balin Bombik Chocolate Ball,Balin Bombik Chocolate Ball,,,,"HongKong Deya International Trade Co., Limited","Snack,Biscuit,Candy,Chocolate; GPR PURE BUTTER COOKIES, KahlenBerg CHOCOLATE, Le Miel Dried Mango, FLIS wafers","Snack,Biscuit,Candy,Chocolate; GPR PURE BUTTER COOKIES, KahlenBerg CHOCOLATE, Le Miel Dried Mango, FLIS wafers"
Sunflower Seeds,Sunflower Seeds,Sunflower Seeds,Sunflower Seeds,,,,"Qiaqia Food Co., Ltd.","Snack; 洽洽主要產品系列:洽洽香瓜子、每日堅果、益生菌每日堅果、小黃袋、小藍袋、早餐每日堅果燕麥片、碧根果等休閒食品,瓜子系列包括焦糖、藤椒、海鹽、山核桃、椒鹽、櫻花白桃味、芝士、蜂蜜黃油等多種口味。","Snack; 洽洽主要產品系列:洽洽香瓜子、每日堅果、益生菌每日堅果、小黃袋、小藍袋、早餐每日堅果燕麥片、碧根果等休閒食品,瓜子系列包括焦糖、藤椒、海鹽、山核桃、椒鹽、櫻花白桃味、芝士、蜂蜜黃油等多種口味。"
Shumi Kindzmarauli,Shumi Kindzmarauli,"Kindzmarauli is red naturally semi-sweet protected designation of origin wine. It is made from 100% Saperavi from Kakheti, Kindzmarauli micro-zone, terroir ""Nadolobari"".; Kindzmarauli is the dark violet colored wine has intense aromas of ripe fruits, blackberries and barberries. It is full-bodied and harmonious, with an excellent balance of sweetness and acidity, with light velvety tannins and pleasant minerality. Food pairing with fried red meat, blue cheeses, desserts with berries.","Kindzmarauli is red naturally semi-sweet protected designation of origin wine. It is made from 100% Saperavi from Kakheti, Kindzmarauli micro-zone, terroir ""Nadolobari"".; Kindzmarauli is the dark violet colored wine has intense aromas of ripe fruits, blackberries and barberries. It is full-bodied and harmonious, with an excellent balance of sweetness and acidity, with light velvety tannins and pleasant minerality. Food pairing with fried red meat, blue cheeses, desserts with berries.",,,,Georgian Vino Company,"Cheese,Liquor / Fortified Wine,Sparkling Wine,Table Wine,Organic Food & Beverage; Retail and wholesale of Georgian red & white wine, brand & whisky, chacha, icewine, dessert wine, honey, cheese, juice, Italian wines and Chinese Tea","Cheese,Liquor / Fortified Wine,Sparkling Wine,Table Wine,Organic Food & Beverage; Retail and wholesale of Georgian red & white wine, brand & whisky, chacha, icewine, dessert wine, honey, cheese, juice, Italian wines and Chinese Tea"
Shumi Tsinandali,Shumi Tsinandali,"Tsinandali is white dry protected designation of origin wine. It is made from 85% Rkatsiteli and 15% Kakhuri Mtsvane grapes at Kakheti, Tsinandali micro-zone, terrior ""Valley of roses"".; Tsinandali is full fermentation of self-flowing grape juice. It is light greenish-yellow wine, is characterized by lemon, lime, green apple and feijoa aromas. It is a piquant and well-balanced with fresh acidity and long-lasting minerality. Food pairing with seafood, grilled white meat and vegetable salads.","Tsinandali is white dry protected designation of origin wine. It is made from 85% Rkatsiteli and 15% Kakhuri Mtsvane grapes at Kakheti, Tsinandali micro-zone, terrior ""Valley of roses"".; Tsinandali is full fermentation of self-flowing grape juice. It is light greenish-yellow wine, is characterized by lemon, lime, green apple and feijoa aromas. It is a piquant and well-balanced with fresh acidity and long-lasting minerality. Food pairing with seafood, grilled white meat and vegetable salads.",,,,Georgian Vino Company,"Cheese,Liquor / Fortified Wine,Sparkling Wine,Table Wine,Organic Food & Beverage; Retail and wholesale of Georgian red & white wine, brand & whisky, chacha, icewine, dessert wine, honey, cheese, juice, Italian wines and Chinese Tea","Cheese,Liquor / Fortified Wine,Sparkling Wine,Table Wine,Organic Food & Beverage; Retail and wholesale of Georgian red & white wine, brand & whisky, chacha, icewine, dessert wine, honey, cheese, juice, Italian wines and Chinese Tea"
Shumi Kisi Qvevri,Shumi Kisi Qvevri,"Shumi Kisi Qvevri amber dry wine made from 100% Kisi grapes in Kakheti micro-zone, terroir ""Ardi"". It is an ancient Georgian traditional Qvevri wine-making method. 4-6 month skin contact into the Qvevri, pressed wine aged then in French oak barrels for 6 months.; This amber-colored wine has a savory character with aromas of pear and peach, well combined with tones of vanilla and toasted walnuts. Kisi Qvevri Iberiuli is full-bodied and has a harmonious, refined taste, with velvety tannins and a long aftertaste. Food pairing with grilled white meat, mushrooms, hard cheeses.","Shumi Kisi Qvevri amber dry wine made from 100% Kisi grapes in Kakheti micro-zone, terroir ""Ardi"". It is an ancient Georgian traditional Qvevri wine-making method. 4-6 month skin contact into the Qvevri, pressed wine aged then in French oak barrels for 6 months.; This amber-colored wine has a savory character with aromas of pear and peach, well combined with tones of vanilla and toasted walnuts. Kisi Qvevri Iberiuli is full-bodied and has a harmonious, refined taste, with velvety tannins and a long aftertaste. Food pairing with grilled white meat, mushrooms, hard cheeses.",,,,Georgian Vino Company,"Cheese,Liquor / Fortified Wine,Sparkling Wine,Table Wine,Organic Food & Beverage; Retail and wholesale of Georgian red & white wine, brand & whisky, chacha, icewine, dessert wine, honey, cheese, juice, Italian wines and Chinese Tea","Cheese,Liquor / Fortified Wine,Sparkling Wine,Table Wine,Organic Food & Beverage; Retail and wholesale of Georgian red & white wine, brand & whisky, chacha, icewine, dessert wine, honey, cheese, juice, Italian wines and Chinese Tea"
Shumi Zigu,Shumi Zigu,"Zigu is fortified, barrel-aged sweet wine. It is an exclusive drink that has no analogues in the world. Created according to the Shumi technology, Zigu is produced from more that 300 rare, especially fragrant grape varieties grown in it. All components that make up Zigu are of grape origin.; The dark garnet-colored wine is characterized by intense aromas of almonds, blackcurrants and cherries, which are brilliantly combined with tones of dried black plums and rosemary. It is full-bodied and characterized by a refined, harmonious and elegant taste, and excellent balance of velvety tannins and piquant spiciness, with pleasant sweetness and a long finish.","Zigu is fortified, barrel-aged sweet wine. It is an exclusive drink that has no analogues in the world. Created according to the Shumi technology, Zigu is produced from more that 300 rare, especially fragrant grape varieties grown in it. All components that make up Zigu are of grape origin.; The dark garnet-colored wine is characterized by intense aromas of almonds, blackcurrants and cherries, which are brilliantly combined with tones of dried black plums and rosemary. It is full-bodied and characterized by a refined, harmonious and elegant taste, and excellent balance of velvety tannins and piquant spiciness, with pleasant sweetness and a long finish.",,,,Georgian Vino Company,"Cheese,Liquor / Fortified Wine,Sparkling Wine,Table Wine,Organic Food & Beverage; Retail and wholesale of Georgian red & white wine, brand & whisky, chacha, icewine, dessert wine, honey, cheese, juice, Italian wines and Chinese Tea","Cheese,Liquor / Fortified Wine,Sparkling Wine,Table Wine,Organic Food & Beverage; Retail and wholesale of Georgian red & white wine, brand & whisky, chacha, icewine, dessert wine, honey, cheese, juice, Italian wines and Chinese Tea"
