NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
Micellar cleansing water collection,Micellar cleansing water collection,"Our micellar water line is thoughtfully developed to meet the unique needs of every skin type. Available in four targeted formulas — for dry, normal, oily, and sensitive skin — each variant gently removes makeup, dirt, and impurities while offering daily protection against pollution and blue light. From deep hydration and soothing care to purifying balance and lasting freshness, our collection ensures clean, healthy-looking skin tailored to individual needs. Dry Skin Hydrating micellar water that removes makeup and restores moisture for soft, comfortable skin. Normal Skin Balancing micellar water that cleanses while maintaining skin’s natural freshness and vitality. Oily Skin Purifying micellar water that clears excess sebum and impurities, leaving skin refreshed and matte. Sensitive Skin Gentle micellar water that soothes and cleanses without irritation, protecting delicate skin daily.","Our micellar water line is thoughtfully developed to meet the unique needs of every skin type. Available in four targeted formulas — for dry, normal, oily, and sensitive skin — each variant gently removes makeup, dirt, and impurities while offering daily protection against pollution and blue light. From deep hydration and soothing care to purifying balance and lasting freshness, our collection ensures clean, healthy-looking skin tailored to individual needs. Dry Skin Hydrating micellar water that removes makeup and restores moisture for soft, comfortable skin. Normal Skin Balancing micellar water that cleanses while maintaining skin’s natural freshness and vitality. Oily Skin Purifying micellar water that clears excess sebum and impurities, leaving skin refreshed and matte. Sensitive Skin Gentle micellar water that soothes and cleanses without irritation, protecting delicate skin daily.",,,https://exhibitorsearch.messefrankfurt.com/images/large/product_pictures/10000053202501/485428/1758791344559_1837528793.JPG,Infinity Peak Ventures inc. (Manufacturer of Canadian lifestyle beauty products),3.3 Halal Cosmetics & Skincare; 3.7 Skincare; 3.14 Suncare; 5.14 Shampoo / Conditioner; 8.13 Foot Care,3.3 Halal Cosmetics & Skincare; 3.7 Skincare; 3.14 Suncare; 5.14 Shampoo / Conditioner; 8.13 Foot Care
Face Wash Gel Collection,Face Wash Gel Collection,"Our face wash gel collection is crafted to meet the unique needs of every skin type, offering four targeted formulas for dry, normal, oily, and sensitive skin. Each cleanser deeply removes impurities, dirt, and pollutants while providing advanced anti-pollution care and blue light defense. With textures designed for comfort and balance, this range ensures daily cleansing that supports healthy, resilient, and refreshed skin. Dry Skin Hydrating gel wash that removes impurities and retains moisture for soft, comfortable skin. Normal Skin Balancing gel wash that cleanses while maintaining skin’s natural freshness and vitality. Oily Skin Purifying gel wash that clears sebum and impurities, leaving skin matte and refreshed. Sensitive Skin Gentle gel wash that soothes and cleanses without irritation, protecting delicate skin daily.","Our face wash gel collection is crafted to meet the unique needs of every skin type, offering four targeted formulas for dry, normal, oily, and sensitive skin. Each cleanser deeply removes impurities, dirt, and pollutants while providing advanced anti-pollution care and blue light defense. With textures designed for comfort and balance, this range ensures daily cleansing that supports healthy, resilient, and refreshed skin. Dry Skin Hydrating gel wash that removes impurities and retains moisture for soft, comfortable skin. Normal Skin Balancing gel wash that cleanses while maintaining skin’s natural freshness and vitality. Oily Skin Purifying gel wash that clears sebum and impurities, leaving skin matte and refreshed. Sensitive Skin Gentle gel wash that soothes and cleanses without irritation, protecting delicate skin daily.",,,https://exhibitorsearch.messefrankfurt.com/images/large/product_pictures/10000053202501/485428/1758715557605_3533978066.JPG,Infinity Peak Ventures inc. (Manufacturer of Canadian lifestyle beauty products),3.3 Halal Cosmetics & Skincare; 3.7 Skincare; 3.14 Suncare; 5.14 Shampoo / Conditioner; 8.13 Foot Care,3.3 Halal Cosmetics & Skincare; 3.7 Skincare; 3.14 Suncare; 5.14 Shampoo / Conditioner; 8.13 Foot Care
ABL/PBL Laminated Tubes,ABL/PBL Laminated Tubes,"Abdos offers Aluminium and Plastic laminated tubes ( ABL & PBL) in diameters 19mm, 22mm, 25mm, 28mm, 35mm, 40mm and 50mm (20ml to 300ml). We offer inhouse printing facility for faster development and printing of tubes. Our printing capability includes of printing upto 9 colours along with value additions like foiling, screen printing, spot varnish, embossing among others.","Abdos offers Aluminium and Plastic laminated tubes ( ABL & PBL) in diameters 19mm, 22mm, 25mm, 28mm, 35mm, 40mm and 50mm (20ml to 300ml). We offer inhouse printing facility for faster development and printing of tubes. Our printing capability includes of printing upto 9 colours along with value additions like foiling, screen printing, spot varnish, embossing among others.",,,https://exhibitorsearch.messefrankfurt.com/images/large/product_pictures/10000053202501/AEXV8A00CBGI/1726473090286_2309758171.jpeg,Abdos Lamitubes Mfg LLC,3.3 Halal Cosmetics & Skincare; 3.7 Skincare; 5.14 Shampoo / Conditioner; 6.4 Contract Manufacturing & Private Label; 6.11 Tubes; 7.1 Primary Packaging; 7.4 Sustainable Packaging,3.3 Halal Cosmetics & Skincare; 3.7 Skincare; 5.14 Shampoo / Conditioner; 6.4 Contract Manufacturing & Private Label; 6.11 Tubes; 7.1 Primary Packaging; 7.4 Sustainable Packaging
IML Jars,IML Jars,"IML creates permanently bonded labels with extreme durability and flexibility. With combined capacity of appx 1000 tonnes per month, Abdos is pioneer in manufacturing IML Jars and Containers.","IML creates permanently bonded labels with extreme durability and flexibility. With combined capacity of appx 1000 tonnes per month, Abdos is pioneer in manufacturing IML Jars and Containers.",,,https://exhibitorsearch.messefrankfurt.com/images/large/product_pictures/10000053202501/AEXV8A00CBGI/1727846000280_4176912127.jpg,Abdos Lamitubes Mfg LLC,3.3 Halal Cosmetics & Skincare; 3.7 Skincare; 5.14 Shampoo / Conditioner; 6.4 Contract Manufacturing & Private Label; 6.11 Tubes; 7.1 Primary Packaging; 7.4 Sustainable Packaging,3.3 Halal Cosmetics & Skincare; 3.7 Skincare; 5.14 Shampoo / Conditioner; 6.4 Contract Manufacturing & Private Label; 6.11 Tubes; 7.1 Primary Packaging; 7.4 Sustainable Packaging
Designer by AMD Perfumes,Designer by AMD Perfumes,"Unveil your inner allure with DESIGNER by DHAMMA PERFUMES, a fragrance that weaves an exquisite olfactory tale from start to finish. At the outset, a burst of Zesty Lemon and invigorating Sea Salt entices your senses, setting the stage for an extraordinary journey. As you delve deeper, the heart notes reveal an opulent blend of sweet Praline, warming Cinnamon, and exotic Cardamom, creating a harmonious and captivating symphony.","Unveil your inner allure with DESIGNER by DHAMMA PERFUMES, a fragrance that weaves an exquisite olfactory tale from start to finish. At the outset, a burst of Zesty Lemon and invigorating Sea Salt entices your senses, setting the stage for an extraordinary journey. As you delve deeper, the heart notes reveal an opulent blend of sweet Praline, warming Cinnamon, and exotic Cardamom, creating a harmonious and captivating symphony.",,,https://exhibitorsearch.messefrankfurt.com/images/large/mics/find/product_dummy.png,A.M. Dhamma Perfumes Industry,4 Fragrance,4 Fragrance
Viper by AMD Perfumes,Viper by AMD Perfumes,"Introducing VIPER by DHAMMA PERFUMES – a captivating blend of Agarwood, Saffron, and Patchouli. Elevate your senses with this exquisite fragrance that combines the rich and woody notes of Agarwood, the warm and luxurious embrace of Saffron, and the earthy depth of Patchouli. Unleash your inner mystique with VIPER, a scent that lingers in memory.","Introducing VIPER by DHAMMA PERFUMES – a captivating blend of Agarwood, Saffron, and Patchouli. Elevate your senses with this exquisite fragrance that combines the rich and woody notes of Agarwood, the warm and luxurious embrace of Saffron, and the earthy depth of Patchouli. Unleash your inner mystique with VIPER, a scent that lingers in memory.",,,https://exhibitorsearch.messefrankfurt.com/images/large/mics/find/product_dummy.png,A.M. Dhamma Perfumes Industry,4 Fragrance,4 Fragrance
Sport,Sport,"Fragrance that energizes and refreshes! A vibrant blend of ginger, lemon, and cardamom, layered with a heart of rose and incense, and finished with a woody base of patchouli and amber.","Fragrance that energizes and refreshes! A vibrant blend of ginger, lemon, and cardamom, layered with a heart of rose and incense, and finished with a woody base of patchouli and amber.",,,https://exhibitorsearch.messefrankfurt.com/images/large/product_pictures/10000053202501/450341/1757757124310_1606029288.png,Abna Yousef,4.2 Finished Fragrance; 4.5 Niche Fragrance,4.2 Finished Fragrance; 4.5 Niche Fragrance
Delicious,Delicious,"A sweet and warm fruity delight! An enchanting mix of blackcurrant and cranberry at the top, followed by a rich heart of blackberry and raspberry, ending with a luxurious base of vanilla and sugary notes.","A sweet and warm fruity delight! An enchanting mix of blackcurrant and cranberry at the top, followed by a rich heart of blackberry and raspberry, ending with a luxurious base of vanilla and sugary notes.",,,https://exhibitorsearch.messefrankfurt.com/images/large/product_pictures/10000053202501/450341/1757757177629_2381459258.png,Abna Yousef,4.2 Finished Fragrance; 4.5 Niche Fragrance,4.2 Finished Fragrance; 4.5 Niche Fragrance
celimax THE VITA-A RETINAL SHOT TIGHTENING BOOSTER,celimax THE VITA-A RETINAL SHOT TIGHTENING BOOSTER,Focused Anti-aging care for deep wrinkles and aging-related pores with next generation Retinal and pore targeting A-shot technology Benefits: improving deep wrinkles Reducing deep pores Total Elasticity Care,Focused Anti-aging care for deep wrinkles and aging-related pores with next generation Retinal and pore targeting A-shot technology Benefits: improving deep wrinkles Reducing deep pores Total Elasticity Care,,,https://exhibitorsearch.messefrankfurt.com/images/large/product_pictures/10000053202501/482046/1760083153043_3167121337.JPEG,"Absorb Lab Co., Ltd.",3.7 Skincare; 3.10 Anti-Aging; 3.14 Suncare,3.7 Skincare; 3.10 Anti-Aging; 3.14 Suncare
celimax THE VITA-A RETINOL SHOT TIGHTENING SERUM,celimax THE VITA-A RETINOL SHOT TIGHTENING SERUM,Focused Antiaging care for deep wrinkles and pores with pure retinol and A-shot technology Benefits: improving deep wrinkles Pore Reduction Total Firming care,Focused Antiaging care for deep wrinkles and pores with pure retinol and A-shot technology Benefits: improving deep wrinkles Pore Reduction Total Firming care,,,,"Absorb Lab Co., Ltd.",3.7 Skincare; 3.10 Anti-Aging; 3.14 Suncare,3.7 Skincare; 3.10 Anti-Aging; 3.14 Suncare
