NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
Stainless Steel Insulated Thermal Server,Stainless Steel Insulated Thermal Server,Stainless Steel Insulated Thermal Server,Stainless Steel Insulated Thermal Server,,,,Kinox Trading Limited,"Kitchen Utensil Set, Kitchenware; Household cookwares; thermal servers; electric kettles","Kitchen Utensil Set, Kitchenware; Household cookwares; thermal servers; electric kettles"
Coffee Decanter,Coffee Decanter,Coffee Decanter,Coffee Decanter,,,,Kinox Trading Limited,"Kitchen Utensil Set, Kitchenware; Household cookwares; thermal servers; electric kettles","Kitchen Utensil Set, Kitchenware; Household cookwares; thermal servers; electric kettles"
UPCHAIR 38,UPCHAIR 38,"Upchair 38° – A Chair That Born To Move; Upchair 38 is an innovative ergonomic chair designed to assist elderly individuals and people with limited mobility in standing up with ease and confidence. With a patented 38-degree tilting seat mechanism activated by a simple button on the armrest, the chair helps reduce pressure on knees, hips, and lower back during the transition from sitting to standing.; Ideal for senior citizens, pregnant women, post-operative patients, and caregivers, Upchair 38 promotes safety, independence, and comfort. Its sleek design and CE certification make it suitable for both residential and public settings such as homes, clinics, elderly care facilities, and rehabilitation centers.; ---; Product Attributes; Model Name: Upchair 38; Function: Power-assisted lift-up seat with 38° tilting angle; Application: Elderly support, mobility assistance, rehabilitation; Control Method: Button on armrest; Power Supply: Rechargeable or plug-in model available; Design Feature: Double-layer cushion structure for ergonomic support; Material: Premium foam, metal lift system, solid wood or alloy legs; Safety: CE certified; passed load-bearing and fire-retardant tests; Color Options: Customizable; Target Users: Seniors, caregivers, pregnant women, physiotherapy patients; Installation: Ready to use; minimal setup required; Recommended Locations: Home, hospitals, clinics, nursing homes, public waiting areas","Upchair 38° – A Chair That Born To Move; Upchair 38 is an innovative ergonomic chair designed to assist elderly individuals and people with limited mobility in standing up with ease and confidence. With a patented 38-degree tilting seat mechanism activated by a simple button on the armrest, the chair helps reduce pressure on knees, hips, and lower back during the transition from sitting to standing.; Ideal for senior citizens, pregnant women, post-operative patients, and caregivers, Upchair 38 promotes safety, independence, and comfort. Its sleek design and CE certification make it suitable for both residential and public settings such as homes, clinics, elderly care facilities, and rehabilitation centers.; ---; Product Attributes; Model Name: Upchair 38; Function: Power-assisted lift-up seat with 38° tilting angle; Application: Elderly support, mobility assistance, rehabilitation; Control Method: Button on armrest; Power Supply: Rechargeable or plug-in model available; Design Feature: Double-layer cushion structure for ergonomic support; Material: Premium foam, metal lift system, solid wood or alloy legs; Safety: CE certified; passed load-bearing and fire-retardant tests; Color Options: Customizable; Target Users: Seniors, caregivers, pregnant women, physiotherapy patients; Installation: Ready to use; minimal setup required; Recommended Locations: Home, hospitals, clinics, nursing homes, public waiting areas",,,,Pottvip (Hong Kong) Limited,"Electrical Personal Care Appliances, Interior Design, General Home Items, Personal Care Product, Furniture; Upchair 38 and Upchair 9","Electrical Personal Care Appliances, Interior Design, General Home Items, Personal Care Product, Furniture; Upchair 38 and Upchair 9"
UPCHAIR 9,UPCHAIR 9,"Product Description; Upchair 9° – A Chair That Matched With Health; Upchair 9 is a revolutionary ergonomic chair crafted to improve spinal health and enhance comfort during prolonged sitting. Its signature 9-degree forward-tilting seat cushion helps maintain natural pelvic tilt and spinal alignment, reducing pressure on the lower back and preventing posture-related fatigue.; Designed with a unique weight-distribution structure, Upchair 9 improves blood circulation and oxygen flow to the brain, boosting focus, creativity, and mental clarity. It also helps reduce visual fatigue, making it ideal for professionals, remote workers, students, and health-conscious individuals.; Combining functionality with modern aesthetics, Upchair 9 is suitable for home, office, schools, or any place where comfort and productivity matter. It’s more than a chair—it’s a lifestyle upgrade.","Product Description; Upchair 9° – A Chair That Matched With Health; Upchair 9 is a revolutionary ergonomic chair crafted to improve spinal health and enhance comfort during prolonged sitting. Its signature 9-degree forward-tilting seat cushion helps maintain natural pelvic tilt and spinal alignment, reducing pressure on the lower back and preventing posture-related fatigue.; Designed with a unique weight-distribution structure, Upchair 9 improves blood circulation and oxygen flow to the brain, boosting focus, creativity, and mental clarity. It also helps reduce visual fatigue, making it ideal for professionals, remote workers, students, and health-conscious individuals.; Combining functionality with modern aesthetics, Upchair 9 is suitable for home, office, schools, or any place where comfort and productivity matter. It’s more than a chair—it’s a lifestyle upgrade.",,,,Pottvip (Hong Kong) Limited,"Electrical Personal Care Appliances, Interior Design, General Home Items, Personal Care Product, Furniture; Upchair 38 and Upchair 9","Electrical Personal Care Appliances, Interior Design, General Home Items, Personal Care Product, Furniture; Upchair 38 and Upchair 9"
Hot & Cold Food Processor,Hot & Cold Food Processor,Hot & Cold Food Processor,Hot & Cold Food Processor,,,,Iplus Home Limited,"Cooker Hood, Dehumidifier, Induction Cooker, Air Cooler / Warmer, Vacuum Cleaner, Smart Living, Electric Iron, Kitchen Cabinet, Electrical Juice Extractor, Air Fryer, Electric Fan, Electric Oven, Air Purifier, Kitchen Utensil Set, Electric Water Dispenser, Electric Rice Cooker, Electric Food Steamer, Food Processor, Electric Blender, Electric Heater, Water Purifier, Kitchenware; With the aim of selling quality, innovative, convenient and practical products, our brand focus on the home with Primada, Prologic, Plologic Robotics.","Cooker Hood, Dehumidifier, Induction Cooker, Air Cooler / Warmer, Vacuum Cleaner, Smart Living, Electric Iron, Kitchen Cabinet, Electrical Juice Extractor, Air Fryer, Electric Fan, Electric Oven, Air Purifier, Kitchen Utensil Set, Electric Water Dispenser, Electric Rice Cooker, Electric Food Steamer, Food Processor, Electric Blender, Electric Heater, Water Purifier, Kitchenware; With the aim of selling quality, innovative, convenient and practical products, our brand focus on the home with Primada, Prologic, Plologic Robotics."
Speedy Refine Cooker,Speedy Refine Cooker,Speedy Refine Cooker,Speedy Refine Cooker,,,,Iplus Home Limited,"Cooker Hood, Dehumidifier, Induction Cooker, Air Cooler / Warmer, Vacuum Cleaner, Smart Living, Electric Iron, Kitchen Cabinet, Electrical Juice Extractor, Air Fryer, Electric Fan, Electric Oven, Air Purifier, Kitchen Utensil Set, Electric Water Dispenser, Electric Rice Cooker, Electric Food Steamer, Food Processor, Electric Blender, Electric Heater, Water Purifier, Kitchenware; With the aim of selling quality, innovative, convenient and practical products, our brand focus on the home with Primada, Prologic, Plologic Robotics.","Cooker Hood, Dehumidifier, Induction Cooker, Air Cooler / Warmer, Vacuum Cleaner, Smart Living, Electric Iron, Kitchen Cabinet, Electrical Juice Extractor, Air Fryer, Electric Fan, Electric Oven, Air Purifier, Kitchen Utensil Set, Electric Water Dispenser, Electric Rice Cooker, Electric Food Steamer, Food Processor, Electric Blender, Electric Heater, Water Purifier, Kitchenware; With the aim of selling quality, innovative, convenient and practical products, our brand focus on the home with Primada, Prologic, Plologic Robotics."
Whole Slow Juicer,Whole Slow Juicer,Whole Slow Juicer,Whole Slow Juicer,,,,Iplus Home Limited,"Cooker Hood, Dehumidifier, Induction Cooker, Air Cooler / Warmer, Vacuum Cleaner, Smart Living, Electric Iron, Kitchen Cabinet, Electrical Juice Extractor, Air Fryer, Electric Fan, Electric Oven, Air Purifier, Kitchen Utensil Set, Electric Water Dispenser, Electric Rice Cooker, Electric Food Steamer, Food Processor, Electric Blender, Electric Heater, Water Purifier, Kitchenware; With the aim of selling quality, innovative, convenient and practical products, our brand focus on the home with Primada, Prologic, Plologic Robotics.","Cooker Hood, Dehumidifier, Induction Cooker, Air Cooler / Warmer, Vacuum Cleaner, Smart Living, Electric Iron, Kitchen Cabinet, Electrical Juice Extractor, Air Fryer, Electric Fan, Electric Oven, Air Purifier, Kitchen Utensil Set, Electric Water Dispenser, Electric Rice Cooker, Electric Food Steamer, Food Processor, Electric Blender, Electric Heater, Water Purifier, Kitchenware; With the aim of selling quality, innovative, convenient and practical products, our brand focus on the home with Primada, Prologic, Plologic Robotics."
IH Speedy Intelligent Cooker,IH Speedy Intelligent Cooker,IH Speedy Intelligent Cooker,IH Speedy Intelligent Cooker,,,,Iplus Home Limited,"Cooker Hood, Dehumidifier, Induction Cooker, Air Cooler / Warmer, Vacuum Cleaner, Smart Living, Electric Iron, Kitchen Cabinet, Electrical Juice Extractor, Air Fryer, Electric Fan, Electric Oven, Air Purifier, Kitchen Utensil Set, Electric Water Dispenser, Electric Rice Cooker, Electric Food Steamer, Food Processor, Electric Blender, Electric Heater, Water Purifier, Kitchenware; With the aim of selling quality, innovative, convenient and practical products, our brand focus on the home with Primada, Prologic, Plologic Robotics.","Cooker Hood, Dehumidifier, Induction Cooker, Air Cooler / Warmer, Vacuum Cleaner, Smart Living, Electric Iron, Kitchen Cabinet, Electrical Juice Extractor, Air Fryer, Electric Fan, Electric Oven, Air Purifier, Kitchen Utensil Set, Electric Water Dispenser, Electric Rice Cooker, Electric Food Steamer, Food Processor, Electric Blender, Electric Heater, Water Purifier, Kitchenware; With the aim of selling quality, innovative, convenient and practical products, our brand focus on the home with Primada, Prologic, Plologic Robotics."
Rotatable Air Fryer,Rotatable Air Fryer,Rotatable Air Fryer,Rotatable Air Fryer,,,,Iplus Home Limited,"Cooker Hood, Dehumidifier, Induction Cooker, Air Cooler / Warmer, Vacuum Cleaner, Smart Living, Electric Iron, Kitchen Cabinet, Electrical Juice Extractor, Air Fryer, Electric Fan, Electric Oven, Air Purifier, Kitchen Utensil Set, Electric Water Dispenser, Electric Rice Cooker, Electric Food Steamer, Food Processor, Electric Blender, Electric Heater, Water Purifier, Kitchenware; With the aim of selling quality, innovative, convenient and practical products, our brand focus on the home with Primada, Prologic, Plologic Robotics.","Cooker Hood, Dehumidifier, Induction Cooker, Air Cooler / Warmer, Vacuum Cleaner, Smart Living, Electric Iron, Kitchen Cabinet, Electrical Juice Extractor, Air Fryer, Electric Fan, Electric Oven, Air Purifier, Kitchen Utensil Set, Electric Water Dispenser, Electric Rice Cooker, Electric Food Steamer, Food Processor, Electric Blender, Electric Heater, Water Purifier, Kitchenware; With the aim of selling quality, innovative, convenient and practical products, our brand focus on the home with Primada, Prologic, Plologic Robotics."
Trolleys,Trolleys,"車身物料 Trolley Material : 粉末塗層鋁 Powder-coated Aluminium; / 配件另外單獨出售 accessories sold separately / 櫃門可上鎖並打開至270°   The door is lockable and can be open to 270° / 附設運行平穩的雙腳輪制動器 With smooth-running double castors brakes; 餐車收納櫃是以可持續理念所設計的產品，將舊餐車回收再改造而成的餐車收納櫃。整體輕巧，配上滑輪讓使用或收納上都非常靈活。 垂直收納也適合置於小型公寓內，可用作辦公室的儲物空間、家中的床頭櫃或簡單地用作收納生活點滴的活動式茶几。加上客製化訂製，為家中環境打造一個視覺焦點，讓整個空間亮起來。; Trolley Cabinet is designed with sustainability in mind. Introducing the trolley cabinets, crafted from recycled and repurposed old trolleys. Lightweight and equipped with wheels, they offer unparalleled flexibility for use and storage.","車身物料 Trolley Material : 粉末塗層鋁 Powder-coated Aluminium; / 配件另外單獨出售 accessories sold separately / 櫃門可上鎖並打開至270°   The door is lockable and can be open to 270° / 附設運行平穩的雙腳輪制動器 With smooth-running double castors brakes; 餐車收納櫃是以可持續理念所設計的產品，將舊餐車回收再改造而成的餐車收納櫃。整體輕巧，配上滑輪讓使用或收納上都非常靈活。 垂直收納也適合置於小型公寓內，可用作辦公室的儲物空間、家中的床頭櫃或簡單地用作收納生活點滴的活動式茶几。加上客製化訂製，為家中環境打造一個視覺焦點，讓整個空間亮起來。; Trolley Cabinet is designed with sustainability in mind. Introducing the trolley cabinets, crafted from recycled and repurposed old trolleys. Lightweight and equipped with wheels, they offer unparalleled flexibility for use and storage.",,,,1001HK Limited,"Cup / Mug, Furniture, Cutlery Set, Tableware; 1001HK","Cup / Mug, Furniture, Cutlery Set, Tableware; 1001HK"
