NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
FL18 Spotlight,FL18 Spotlight,FL18 Spotlight,FL18 Spotlight,,,,"AGC Lighting Co., Ltd.","Track Light, Tunnel Light, Street Light, Solar Lights, Outdoor Floodlight, Exterior Lighting Solutions & System, Building Exterior Lighting System; LED High Bay Lights, LED Linear Lights, LED Flood Lights, LED Street Lights, LED Area Lights, LED Wall Pack Lights, LED Urban Lights, LED Sports Lights, LED Solar Lights, Explosion Proof LED Lights.; OEM","Track Light, Tunnel Light, Street Light, Solar Lights, Outdoor Floodlight, Exterior Lighting Solutions & System, Building Exterior Lighting System; LED High Bay Lights, LED Linear Lights, LED Flood Lights, LED Street Lights, LED Area Lights, LED Wall Pack Lights, LED Urban Lights, LED Sports Lights, LED Solar Lights, Explosion Proof LED Lights.; OEM"
20W/30W/40W Talos all in one stand alone solar street light,20W/30W/40W Talos all in one stand alone solar street light,"Top One Smart Solar Stand-Alone Solar Street Light; Real light wattage from 20W to 200W High efficacy: 185LPW to 200LPW, System efficacy not LED Real battery size- 100% new LiFePo4 battery cell, Grade A Real solar panel wattage 100mph wind against 5 years warranty included battery pack Each battery cell be tested in-house Each solar panel be tested in-house; Each light with one box; Only top quality mono - crystalline silicon solar panels with high efficiency and long lifetime are used.; Quality lithium batteries are used to store the energy, provide energy for immediate requirements, and; enable a back-up for days when there is little or no sun.; High Lumen LED for maximum efficacy. Dedicated designed low-voltage solar controller technology with; dimming capabilities for power-save management.; Lifetime > 50,000 hrs and CRI nominal 70.; Microprocessor managed algorithms autonomously determine sunrise and sunset.; #solarstreetlight #allinone #solarlights #solarstreetlighting #outdoorlighting #streetlight #LEDstreetlight #solarenergy","Top One Smart Solar Stand-Alone Solar Street Light; Real light wattage from 20W to 200W High efficacy: 185LPW to 200LPW, System efficacy not LED Real battery size- 100% new LiFePo4 battery cell, Grade A Real solar panel wattage 100mph wind against 5 years warranty included battery pack Each battery cell be tested in-house Each solar panel be tested in-house; Each light with one box; Only top quality mono - crystalline silicon solar panels with high efficiency and long lifetime are used.; Quality lithium batteries are used to store the energy, provide energy for immediate requirements, and; enable a back-up for days when there is little or no sun.; High Lumen LED for maximum efficacy. Dedicated designed low-voltage solar controller technology with; dimming capabilities for power-save management.; Lifetime > 50,000 hrs and CRI nominal 70.; Microprocessor managed algorithms autonomously determine sunrise and sunset.; #solarstreetlight #allinone #solarlights #solarstreetlighting #outdoorlighting #streetlight #LEDstreetlight #solarenergy",,,https://sourcing-media.hktdc.com/product-original/20W-30W-40W-20Talos-20all-20in-20one-20stand-20alone-20solar-20street-20light/cc1252c5e648423eaff8379a8419c906; https://sourcing-media.hktdc.com/product-original/20W-30W-40W-20Talos-20all-20in-20one-20stand-20alone-20solar-20street-20light/366be5e97e6b4afd9c1d263c83984a4a; https://sourcing-media.hktdc.com/product-original/20W-30W-40W-20Talos-20all-20in-20one-20stand-20alone-20solar-20street-20light/e02b510b8b2c421c83535ac8f97f2fc0; https://sourcing-media.hktdc.com/product-original/20W-30W-40W-20Talos-20all-20in-20one-20stand-20alone-20solar-20street-20light/4d45ea98ded04c728629f0206bdf8787,E-Lite Semiconductor Incorporated,"Street Light; Smart Solar Street Light, Smart Street Light, Smart Pole, IoT system for Smart city; Others, OEM, OBM, ODM","Street Light; Smart Solar Street Light, Smart Street Light, Smart Pole, IoT system for Smart city; Others, OEM, OBM, ODM"
36W Victor heavy duty light,36W Victor heavy duty light,36W Victor heavy duty light,36W Victor heavy duty light,,,https://sourcing-media.hktdc.com/product-original/36W-20Victor-20heavy-20duty-20light/afee72bbecf445c3a6020ec9e3473e29; https://sourcing-media.hktdc.com/product-original/36W-20Victor-20heavy-20duty-20light/a341336c8c0645b290c877bbe97f2275; https://sourcing-media.hktdc.com/product-original/36W-20Victor-20heavy-20duty-20light/884fc6ea7c9c427891b509f127a23e1d,E-Lite Semiconductor Incorporated,"Street Light; Smart Solar Street Light, Smart Street Light, Smart Pole, IoT system for Smart city; Others, OEM, OBM, ODM","Street Light; Smart Solar Street Light, Smart Street Light, Smart Pole, IoT system for Smart city; Others, OEM, OBM, ODM"
80°C High Temperature Light 50W/100W/150W/200W/300W/450W,80°C High Temperature Light 50W/100W/150W/200W/300W/450W,"Edge series high temperature LED High Bay sets the industry standard with energy efficiency and durability for the longest-lasting performance in high ambient temperature industrial applications including Manufacturing, Power Generation, Water and Wastewater, Pulp and Paper, Metals and Mining, Chemical and Petrochemical and Oil and Gas. Designed for operation in an environment with ambient temperature up to 80°C, The low-profile, rugged fixture is a worry-free, low maintenance lamp for maximum reliability, durability and shock, vibration and vandalism resistance, even in the harshest environments.","Edge series high temperature LED High Bay sets the industry standard with energy efficiency and durability for the longest-lasting performance in high ambient temperature industrial applications including Manufacturing, Power Generation, Water and Wastewater, Pulp and Paper, Metals and Mining, Chemical and Petrochemical and Oil and Gas. Designed for operation in an environment with ambient temperature up to 80°C, The low-profile, rugged fixture is a worry-free, low maintenance lamp for maximum reliability, durability and shock, vibration and vandalism resistance, even in the harshest environments.",,,https://sourcing-media.hktdc.com/product-original/80%C2%B0C-20High-20Temperature-20Light-2050W-100W-150W-200W-300W-450W/32aafeb80cc14108ad02c729b2fd318a; https://sourcing-media.hktdc.com/product-original/80%C2%B0C-20High-20Temperature-20Light-2050W-100W-150W-200W-300W-450W/5a284736059b4d539212e303ca00b361; https://sourcing-media.hktdc.com/product-original/80%C2%B0C-20High-20Temperature-20Light-2050W-100W-150W-200W-300W-450W/e4ffe26cf5d943a29330afab5f44a215; https://sourcing-media.hktdc.com/product-original/80%C2%B0C-20High-20Temperature-20Light-2050W-100W-150W-200W-300W-450W/973ba68947c740a5831610aba444659a,E-Lite Semiconductor Incorporated,"Street Light; Smart Solar Street Light, Smart Street Light, Smart Pole, IoT system for Smart city; Others, OEM, OBM, ODM","Street Light; Smart Solar Street Light, Smart Street Light, Smart Pole, IoT system for Smart city; Others, OEM, OBM, ODM"
Smart Pole,Smart Pole,"Smart Pole for Smart City; Leveraging lighting infrastructure to create safer, more resilient and enjoyable smart cities.; E-Lite brings innovative smart city solutions to the market with a connected, modular approach to smart poles that; contain pre-certified hardware. By offering multiple technologies in one aesthetically pleasing column to reduce; cluttering pieces of hardware, E-Lite smart poles bring an elegant touch to free-up outdoor urban spaces, completely; energy-efficient yet affordable and requiring very low maintenance.","Smart Pole for Smart City; Leveraging lighting infrastructure to create safer, more resilient and enjoyable smart cities.; E-Lite brings innovative smart city solutions to the market with a connected, modular approach to smart poles that; contain pre-certified hardware. By offering multiple technologies in one aesthetically pleasing column to reduce; cluttering pieces of hardware, E-Lite smart poles bring an elegant touch to free-up outdoor urban spaces, completely; energy-efficient yet affordable and requiring very low maintenance.",,,https://sourcing-media.hktdc.com/product-original/Smart-20Pole/d3cfe7f3f4a9496c8de24c86f84888f4; https://sourcing-media.hktdc.com/product-original/Smart-20Pole/730d01e1d8dd475eae1fad9158ec49dd; https://sourcing-media.hktdc.com/product-original/Smart-20Pole/dde4e721797546f1af27630aa10db44f,E-Lite Semiconductor Incorporated,"Street Light; Smart Solar Street Light, Smart Street Light, Smart Pole, IoT system for Smart city; Others, OEM, OBM, ODM","Street Light; Smart Solar Street Light, Smart Street Light, Smart Pole, IoT system for Smart city; Others, OEM, OBM, ODM"
600W  NEDTennis court light with high efficacy,600W  NEDTennis court light with high efficacy,"THE GAME CHANGER; LOW GLARE·HIGH UNIFORMITY; New Edge tennis court light is a specifically engineered lighting solution for outdoor tennis courts and other court lighting applications. Its high-performance LEDs and precise optics produce superior levels of illumination and uniformity while throwing the light toward the court, reducing light pollution.; Compared with HID systems, these products reduce energy consumption by up to 75%. Gone are the days when the 1,000-watt metal halides took 10+ minutes to start up and the high maintenance cost due to the very short lamp life of the halides.; Designed only for Tennis court light; GLARE CONTROL & LIGHT UNIFORMITY COMPARISON; ETL/CE/SAA","THE GAME CHANGER; LOW GLARE·HIGH UNIFORMITY; New Edge tennis court light is a specifically engineered lighting solution for outdoor tennis courts and other court lighting applications. Its high-performance LEDs and precise optics produce superior levels of illumination and uniformity while throwing the light toward the court, reducing light pollution.; Compared with HID systems, these products reduce energy consumption by up to 75%. Gone are the days when the 1,000-watt metal halides took 10+ minutes to start up and the high maintenance cost due to the very short lamp life of the halides.; Designed only for Tennis court light; GLARE CONTROL & LIGHT UNIFORMITY COMPARISON; ETL/CE/SAA",,,https://sourcing-media.hktdc.com/product-original/600W-20-20NEDTennis-20court-20light-20with-20high-20efficacy/e1efcc3ef2bd412b931b361df52941df; https://sourcing-media.hktdc.com/product-original/600W-20-20NEDTennis-20court-20light-20with-20high-20efficacy/ddbda79bbe5b48949c5934b129c27275; https://sourcing-media.hktdc.com/product-original/600W-20-20NEDTennis-20court-20light-20with-20high-20efficacy/1720196f732f413a9d3adf1c0b1123a8,E-Lite Semiconductor Incorporated,"Street Light; Smart Solar Street Light, Smart Street Light, Smart Pole, IoT system for Smart city; Others, OEM, OBM, ODM","Street Light; Smart Solar Street Light, Smart Street Light, Smart Pole, IoT system for Smart city; Others, OEM, OBM, ODM"
Cobra head street light toolless street light,Cobra head street light toolless street light,Cobra head street light toolless street light,Cobra head street light toolless street light,,,https://sourcing-media.hktdc.com/product-original/Cobra-20head-20street-20light-20toolless-20street-20light/7860366395d4456bb4773bd089af233d,E-Lite Semiconductor Incorporated,"Street Light; Smart Solar Street Light, Smart Street Light, Smart Pole, IoT system for Smart city; Others, OEM, OBM, ODM","Street Light; Smart Solar Street Light, Smart Street Light, Smart Pole, IoT system for Smart city; Others, OEM, OBM, ODM"
100W 100°C High Temperature LED High Bay Light,100W 100°C High Temperature LED High Bay Light,"Designed for operation in an environment with ambient temperature up to 100°C/212°F, The low-profile, rugged Edge fixture is a worry-free, low-maintenance lamp for maximum reliability, durability, and shock, vibration and vandalism resistance, even in the harshest environment.; High temperature led high bay light; Ambient temperature: 80-100°C/212°F; 50W, 100W, 150W, 200W, 300W and 450W; Lumileds + Meanwell HLG driver; 140lm/W for system efficacy; 3000-6500K; IP66/IK10; 3/5G; Released in 2014, 10 years old!; Edge series high-temperature LED High Bay sets the industry standard with energy efficiency and durability for the longest-lasting performance in high ambient temperature industrial applications including Manufacturing, Power Generation, Water and Wastewater, Pulp and Paper, Metals and Mining, Chemical and Petrochemical and Oil and Gas.","Designed for operation in an environment with ambient temperature up to 100°C/212°F, The low-profile, rugged Edge fixture is a worry-free, low-maintenance lamp for maximum reliability, durability, and shock, vibration and vandalism resistance, even in the harshest environment.; High temperature led high bay light; Ambient temperature: 80-100°C/212°F; 50W, 100W, 150W, 200W, 300W and 450W; Lumileds + Meanwell HLG driver; 140lm/W for system efficacy; 3000-6500K; IP66/IK10; 3/5G; Released in 2014, 10 years old!; Edge series high-temperature LED High Bay sets the industry standard with energy efficiency and durability for the longest-lasting performance in high ambient temperature industrial applications including Manufacturing, Power Generation, Water and Wastewater, Pulp and Paper, Metals and Mining, Chemical and Petrochemical and Oil and Gas.",,,https://sourcing-media.hktdc.com/product-original/100W-20100%C2%B0C-20High-20Temperature-20LED-20High-20Bay-20Light/3457a92a84f8401485abd3b1028525b9; https://sourcing-media.hktdc.com/product-original/100W-20100%C2%B0C-20High-20Temperature-20LED-20High-20Bay-20Light/fccab05951f5479689e308b9dab2a79b,E-Lite Semiconductor Incorporated,"Street Light; Smart Solar Street Light, Smart Street Light, Smart Pole, IoT system for Smart city; Others, OEM, OBM, ODM","Street Light; Smart Solar Street Light, Smart Street Light, Smart Pole, IoT system for Smart city; Others, OEM, OBM, ODM"
1000W Titan Sports Light,1000W Titan Sports Light,1000W Titan Sports Light,1000W Titan Sports Light,,,https://sourcing-media.hktdc.com/product-original/1000W-20Titan-20Sports-20Light/e555dafda6c54cbbb3aeb427c6c53869,E-Lite Semiconductor Incorporated,"Street Light; Smart Solar Street Light, Smart Street Light, Smart Pole, IoT system for Smart city; Others, OEM, OBM, ODM","Street Light; Smart Solar Street Light, Smart Street Light, Smart Pole, IoT system for Smart city; Others, OEM, OBM, ODM"
LED FLOODLIGHT,LED FLOODLIGHT,LED FLOODLIGHT,LED FLOODLIGHT,,,,"Ningbo Outlux Electrical Co., Ltd.","Street Light, Outdoor Floodlight; LED Floodlight, LED Highbay, LED Streetlight; OBM, ODM, OEM","Street Light, Outdoor Floodlight; LED Floodlight, LED Highbay, LED Streetlight; OBM, ODM, OEM"
