NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
Freeze Dried Jaew Dipping Sauce 7g,Freeze Dried Jaew Dipping Sauce 7g,"ZAPJEED’s Jaew dipping sauce, presented in a 7-gram aluminum foil cup, captures the bold and distinctive flavors of Northeastern Thailand (Isan). This signature blend features the rich, smoky heat of dried chili, the tangy brightness of fresh tamarind juice, and the aromatic depth of toasted rice powder.; Ideal for grilled meats and barbecue-style meals, this portable sauce brings authentic Thai flavor to any dining experience—anytime, anywhere.","ZAPJEED’s Jaew dipping sauce, presented in a 7-gram aluminum foil cup, captures the bold and distinctive flavors of Northeastern Thailand (Isan). This signature blend features the rich, smoky heat of dried chili, the tangy brightness of fresh tamarind juice, and the aromatic depth of toasted rice powder.; Ideal for grilled meats and barbecue-style meals, this portable sauce brings authentic Thai flavor to any dining experience—anytime, anywhere.",,,,"Zapjeed Co., Ltd.","Sauce; Freeze Dried Seafood Dipping Sauce
Freeze Dried Jaew Dipping Sauce
Freeze Dried Mookrata Dipping Sauce; OBM, OEM","Sauce; Freeze Dried Seafood Dipping Sauce
Freeze Dried Jaew Dipping Sauce
Freeze Dried Mookrata Dipping Sauce; OBM, OEM"
Freeze Dried Seafood Dipping Sauce 7g,Freeze Dried Seafood Dipping Sauce 7g,"ZAPJEED Freeze-Dried Seafood Dipping Sauce; Packaged in a 7-gram aluminum cup, ZAPJEED's freeze-dried seafood dipping sauce is designed for convenient travel and on-the-go enjoyment. Each cup serves approximately 1 to 2 people, depending on the amount of water added. The intensity and flavor can be adjusted to taste by varying the water-to-sauce ratio, allowing for a personalized seasoning experience.","ZAPJEED Freeze-Dried Seafood Dipping Sauce; Packaged in a 7-gram aluminum cup, ZAPJEED's freeze-dried seafood dipping sauce is designed for convenient travel and on-the-go enjoyment. Each cup serves approximately 1 to 2 people, depending on the amount of water added. The intensity and flavor can be adjusted to taste by varying the water-to-sauce ratio, allowing for a personalized seasoning experience.",,,,"Zapjeed Co., Ltd.","Sauce; Freeze Dried Seafood Dipping Sauce
Freeze Dried Jaew Dipping Sauce
Freeze Dried Mookrata Dipping Sauce; OBM, OEM","Sauce; Freeze Dried Seafood Dipping Sauce
Freeze Dried Jaew Dipping Sauce
Freeze Dried Mookrata Dipping Sauce; OBM, OEM"
Freeze Dried Mookrata Dipping Sauce 7g,Freeze Dried Mookrata Dipping Sauce 7g,"ZAPJEED Thai Hot Pot (Moo Kratha/Suki) Dipping Sauce; ZAPJEED’s Moo Kratha or Thai Suki dipping sauce is a modern reinterpretation of Thailand’s classic sukiyaki sauce, crafted to reflect the brand’s own unique character. Unlike traditional recipes that use fermented bean curd (tao hoo yee), ZAPJEED replaces it with a tomato-based blend, resulting in a well-balanced flavor that is sweet, tangy, and mildly spicy.; This versatile sauce pairs perfectly with Thai-style hot pot (suki) or Moo Kratha (Thai BBQ). Its bold yet harmonious flavor profile is particularly popular among Chinese consumers and those who enjoy vibrant, savory dipping sauces.","ZAPJEED Thai Hot Pot (Moo Kratha/Suki) Dipping Sauce; ZAPJEED’s Moo Kratha or Thai Suki dipping sauce is a modern reinterpretation of Thailand’s classic sukiyaki sauce, crafted to reflect the brand’s own unique character. Unlike traditional recipes that use fermented bean curd (tao hoo yee), ZAPJEED replaces it with a tomato-based blend, resulting in a well-balanced flavor that is sweet, tangy, and mildly spicy.; This versatile sauce pairs perfectly with Thai-style hot pot (suki) or Moo Kratha (Thai BBQ). Its bold yet harmonious flavor profile is particularly popular among Chinese consumers and those who enjoy vibrant, savory dipping sauces.",,,,"Zapjeed Co., Ltd.","Sauce; Freeze Dried Seafood Dipping Sauce
Freeze Dried Jaew Dipping Sauce
Freeze Dried Mookrata Dipping Sauce; OBM, OEM","Sauce; Freeze Dried Seafood Dipping Sauce
Freeze Dried Jaew Dipping Sauce
Freeze Dried Mookrata Dipping Sauce; OBM, OEM"
Continue the Sourcing Journey Beyond Exhibitions,Continue the Sourcing Journey Beyond Exhibitions,Continue the Sourcing Journey Beyond Exhibitions,Continue the Sourcing Journey Beyond Exhibitions,,,,EXHIBITION+,"30+ Physical Exhibitions, Click2Match, Scan2Match, hktdc.com Sourcing​","30+ Physical Exhibitions, Click2Match, Scan2Match, hktdc.com Sourcing​"
30g Starry Pineapple Fruit Chips สับปะรดกรอบ สัปปะรดทอดกรอบ ตรา สตาร์รี,30g Starry Pineapple Fruit Chips สับปะรดกรอบ สัปปะรดทอดกรอบ ตรา สตาร์รี,"✨ Naturally Tangy. Wonderfully Crispy.; Sweet, tangy, and tropical – our Starry Pineapple Chips capture the sunshine of Thailand in every crunchy bite. Made from 100% real Thai pineapple and freeze-dried to perfection, this snack delivers all the fruity goodness with none of the guilt.; No added sugar, no preservatives, and no trans fat – just the pure flavor of pineapple in a light, crispy form you can enjoy anytime, anywhere.; 🟡 100% real pineapple 🟡 Naturally sweet and tangy flavor 🟡 No sugar added | No preservatives | No trans fat 🟡 Light, crispy, and refreshing 🟡 Shelf life: 15 months; How It’s Made: Vacuum Frying Our pineapple chips are crafted using vacuum frying – a technique that preserves flavor, color, and nutrients by gently drying at low temperatures. This results in a crispy, aromatic snack with lower oil content than traditional frying.; ✅ Less oily ✅ Natural taste and aroma ✅ Retains nutrients","✨ Naturally Tangy. Wonderfully Crispy.; Sweet, tangy, and tropical – our Starry Pineapple Chips capture the sunshine of Thailand in every crunchy bite. Made from 100% real Thai pineapple and freeze-dried to perfection, this snack delivers all the fruity goodness with none of the guilt.; No added sugar, no preservatives, and no trans fat – just the pure flavor of pineapple in a light, crispy form you can enjoy anytime, anywhere.; 🟡 100% real pineapple 🟡 Naturally sweet and tangy flavor 🟡 No sugar added | No preservatives | No trans fat 🟡 Light, crispy, and refreshing 🟡 Shelf life: 15 months; How It’s Made: Vacuum Frying Our pineapple chips are crafted using vacuum frying – a technique that preserves flavor, color, and nutrients by gently drying at low temperatures. This results in a crispy, aromatic snack with lower oil content than traditional frying.; ✅ Less oily ✅ Natural taste and aroma ✅ Retains nutrients",,,,Ace Star International Trading Co Ltd,"Snack,Fruit; Starry Brand
- Freeze-dried Fruits uses only premium-quality fruits in each season. Designed with fascinating packages
- Freeze-dried Thai Dessert
- Fruit Chips
- Soft-dried Mango 
- Gummy Mango; OBM, OEM, Others, ODM","Snack,Fruit; Starry Brand
- Freeze-dried Fruits uses only premium-quality fruits in each season. Designed with fascinating packages
- Freeze-dried Thai Dessert
- Fruit Chips
- Soft-dried Mango 
- Gummy Mango; OBM, OEM, Others, ODM"
'Starry' Canned Coconut Milk Premium and Natural - Wholesale From Factory Product of Thailand,'Starry' Canned Coconut Milk Premium and Natural - Wholesale From Factory Product of Thailand,"1.Who are we ? Ace Star International Co.,Ltd. is global supplier of Thai food from fresh to processed ones.Our product vary from fresh local fruits,canned vegetable & fruits,and freeze-dried fruits. Located in Thailand, we have a competitive edge in aboundant resources in the heart of ASEAN Econamic Commuity (AEC). 2. What's the price? The price is different according to different quantity, you can send us email and tell the quantity you need, we will tell you the best price asap. 3. What are you payment terms? T/T, Western Union, MoneyGram and Paypal. 4. What is your delivery time.; The delivery time is base on your quantities. Generally, the delivery date is 15 days working days after you place the orders","1.Who are we ? Ace Star International Co.,Ltd. is global supplier of Thai food from fresh to processed ones.Our product vary from fresh local fruits,canned vegetable & fruits,and freeze-dried fruits. Located in Thailand, we have a competitive edge in aboundant resources in the heart of ASEAN Econamic Commuity (AEC). 2. What's the price? The price is different according to different quantity, you can send us email and tell the quantity you need, we will tell you the best price asap. 3. What are you payment terms? T/T, Western Union, MoneyGram and Paypal. 4. What is your delivery time.; The delivery time is base on your quantities. Generally, the delivery date is 15 days working days after you place the orders",,,https://sourcing-media.hktdc.com/product-original/-Starry-20Canned-20Coconut-20Milk-20Premium-20and-20Natural-20--20Wholesale-20From-20Factory-20Product-20of-20Thailand/0842c272c76747f9ac793170fc5f0be9,Ace Star International Trading Co Ltd,"Snack,Fruit; Starry Brand
- Freeze-dried Fruits uses only premium-quality fruits in each season. Designed with fascinating packages
- Freeze-dried Thai Dessert
- Fruit Chips
- Soft-dried Mango 
- Gummy Mango; OBM, OEM, Others, ODM","Snack,Fruit; Starry Brand
- Freeze-dried Fruits uses only premium-quality fruits in each season. Designed with fascinating packages
- Freeze-dried Thai Dessert
- Fruit Chips
- Soft-dried Mango 
- Gummy Mango; OBM, OEM, Others, ODM"
40g Starry Freeze-dried Fruit Durian with Cashew Nut ทุเรียนเม็ดมะม่วงหิมพานต์ฟรีซดราย ตรา สตาร์รี,40g Starry Freeze-dried Fruit Durian with Cashew Nut ทุเรียนเม็ดมะม่วงหิมพานต์ฟรีซดราย ตรา สตาร์รี,"✨ The King of Fruits – With a Crunchy Thai Twist!; Experience the bold, creamy flavor of Thailand’s prized Monthong durian – now elevated with the nutty crunch of premium cashew nuts. Our Starry Freeze-dried Durian with Cashew Nuts offers a satisfying, tropical snack that’s both rich and refreshing.; Crafted from 100% real Thai durian and roasted cashews, then freeze-dried to preserve their natural aroma and texture – without any added preservatives.; 🟡 No preservatives 🟡 100% real Monthong durian & cashew nuts 🟡 Bold durian flavor with a buttery cashew crunch 🟡 Light, crispy, and satisfyingly tropical 🟡 Shelf life: 18 months; A daring fusion of Thai tradition and snack innovation – ready to enjoy anytime, anywhere.","✨ The King of Fruits – With a Crunchy Thai Twist!; Experience the bold, creamy flavor of Thailand’s prized Monthong durian – now elevated with the nutty crunch of premium cashew nuts. Our Starry Freeze-dried Durian with Cashew Nuts offers a satisfying, tropical snack that’s both rich and refreshing.; Crafted from 100% real Thai durian and roasted cashews, then freeze-dried to preserve their natural aroma and texture – without any added preservatives.; 🟡 No preservatives 🟡 100% real Monthong durian & cashew nuts 🟡 Bold durian flavor with a buttery cashew crunch 🟡 Light, crispy, and satisfyingly tropical 🟡 Shelf life: 18 months; A daring fusion of Thai tradition and snack innovation – ready to enjoy anytime, anywhere.",,,,Ace Star International Trading Co Ltd,"Snack,Fruit; Starry Brand
- Freeze-dried Fruits uses only premium-quality fruits in each season. Designed with fascinating packages
- Freeze-dried Thai Dessert
- Fruit Chips
- Soft-dried Mango 
- Gummy Mango; OBM, OEM, Others, ODM","Snack,Fruit; Starry Brand
- Freeze-dried Fruits uses only premium-quality fruits in each season. Designed with fascinating packages
- Freeze-dried Thai Dessert
- Fruit Chips
- Soft-dried Mango 
- Gummy Mango; OBM, OEM, Others, ODM"
15g Starry Freeze-dried Fruit Durian ทุเรียนฟรีซดราย ทุเรียนอบกรอบ ตรา สตาร์รี,15g Starry Freeze-dried Fruit Durian ทุเรียนฟรีซดราย ทุเรียนอบกรอบ ตรา สตาร์รี,"The King of Tropical Fruits – in a Crunchy Bite!; Durian, widely known as “The King of Fruits,” is celebrated for its rich, exotic flavor and distinctive aroma. Our Starry Freeze-dried Durian is made from 100% premium Monthong durian —Thailand’s most famous variety.; Carefully processed using advanced freeze-drying technology, this snack retains natural flavor, aroma, and nutrients without added sugar or preservatives.; 🟠 No added sugar 🟠 100% real Monthong durian 🟠 Crunchy texture, natural taste 🟠 Rich in vitamins A, B6, C, and minerals like potassium, calcium, magnesium, sodium, zinc, and phosphorus 🟠 Shelf life: 18 months; Perfect as a healthy tropical fruit snack for all ages. Enjoy the true taste of Thailand – anytime, anywhere!","The King of Tropical Fruits – in a Crunchy Bite!; Durian, widely known as “The King of Fruits,” is celebrated for its rich, exotic flavor and distinctive aroma. Our Starry Freeze-dried Durian is made from 100% premium Monthong durian —Thailand’s most famous variety.; Carefully processed using advanced freeze-drying technology, this snack retains natural flavor, aroma, and nutrients without added sugar or preservatives.; 🟠 No added sugar 🟠 100% real Monthong durian 🟠 Crunchy texture, natural taste 🟠 Rich in vitamins A, B6, C, and minerals like potassium, calcium, magnesium, sodium, zinc, and phosphorus 🟠 Shelf life: 18 months; Perfect as a healthy tropical fruit snack for all ages. Enjoy the true taste of Thailand – anytime, anywhere!",,,,Ace Star International Trading Co Ltd,"Snack,Fruit; Starry Brand
- Freeze-dried Fruits uses only premium-quality fruits in each season. Designed with fascinating packages
- Freeze-dried Thai Dessert
- Fruit Chips
- Soft-dried Mango 
- Gummy Mango; OBM, OEM, Others, ODM","Snack,Fruit; Starry Brand
- Freeze-dried Fruits uses only premium-quality fruits in each season. Designed with fascinating packages
- Freeze-dried Thai Dessert
- Fruit Chips
- Soft-dried Mango 
- Gummy Mango; OBM, OEM, Others, ODM"
40g Starry Freeze-dried Fruit Mango Sticky Rice ข้าวเหนียวมะม่วงฟรีซดราย ข้าวเหนียวมะม่วงอบกรอบ ตรา สตาร์รี,40g Starry Freeze-dried Fruit Mango Sticky Rice ข้าวเหนียวมะม่วงฟรีซดราย ข้าวเหนียวมะม่วงอบกรอบ ตรา สตาร์รี,"✨ Thailand’s Iconic Dessert – In a Crunchy Bite!; Mango Sticky Rice is Thailand’s beloved dessert, known for its luscious sweetness, soft glutinous rice, and fragrant coconut cream. Our Starry Freeze-dried Mango Sticky Rice captures the essence of this iconic treat in a light and crunchy format.; Made from 100% Thai mango and premium sticky rice, freeze-dried to lock in the rich flavors and aromas – all without added preservatives.; 🟡 No preservatives 🟡 100% real mango and sticky rice 🟡 Light, crispy texture with layers of authentic taste 🟡 A tasty twist on traditional Thai dessert 🟡 Shelf life: 18 months; Experience the true taste of Thailand – anywhere, anytime!","✨ Thailand’s Iconic Dessert – In a Crunchy Bite!; Mango Sticky Rice is Thailand’s beloved dessert, known for its luscious sweetness, soft glutinous rice, and fragrant coconut cream. Our Starry Freeze-dried Mango Sticky Rice captures the essence of this iconic treat in a light and crunchy format.; Made from 100% Thai mango and premium sticky rice, freeze-dried to lock in the rich flavors and aromas – all without added preservatives.; 🟡 No preservatives 🟡 100% real mango and sticky rice 🟡 Light, crispy texture with layers of authentic taste 🟡 A tasty twist on traditional Thai dessert 🟡 Shelf life: 18 months; Experience the true taste of Thailand – anywhere, anytime!",,,,Ace Star International Trading Co Ltd,"Snack,Fruit; Starry Brand
- Freeze-dried Fruits uses only premium-quality fruits in each season. Designed with fascinating packages
- Freeze-dried Thai Dessert
- Fruit Chips
- Soft-dried Mango 
- Gummy Mango; OBM, OEM, Others, ODM","Snack,Fruit; Starry Brand
- Freeze-dried Fruits uses only premium-quality fruits in each season. Designed with fascinating packages
- Freeze-dried Thai Dessert
- Fruit Chips
- Soft-dried Mango 
- Gummy Mango; OBM, OEM, Others, ODM"
'Starry' Canned Pineapple Slice in Light Syrup Premium (Easy-open) - Wholesale From Factory Product of Thailand,'Starry' Canned Pineapple Slice in Light Syrup Premium (Easy-open) - Wholesale From Factory Product of Thailand,"1.Who are we ? Ace Star International Co.,Ltd. is global supplier of Thai food from fresh to processed ones.Our product vary from fresh local fruits,canned vegetable & fruits,and freeze-dried fruits. Located in Thailand, we have a competitive edge in aboundant resources in the heart of ASEAN Econamic Commuity (AEC). 2. What's the price? The price is different according to different quantity, you can send us email and tell the quantity you need, we will tell you the best price asap. 3. What are you payment terms? T/T, Western Union, MoneyGram and Paypal. 4. What is your delivery time.; The delivery time is base on your quantities. Generally, the delivery date is 15 days working days after you place the orders","1.Who are we ? Ace Star International Co.,Ltd. is global supplier of Thai food from fresh to processed ones.Our product vary from fresh local fruits,canned vegetable & fruits,and freeze-dried fruits. Located in Thailand, we have a competitive edge in aboundant resources in the heart of ASEAN Econamic Commuity (AEC). 2. What's the price? The price is different according to different quantity, you can send us email and tell the quantity you need, we will tell you the best price asap. 3. What are you payment terms? T/T, Western Union, MoneyGram and Paypal. 4. What is your delivery time.; The delivery time is base on your quantities. Generally, the delivery date is 15 days working days after you place the orders",,,https://sourcing-media.hktdc.com/product-original/-20-Starry-20Canned-20Pineapple-20Slice-20in-20Light-20Syrup-20Premium-20-Easy-open-20--20Wholesale-20From-20Factory-20Product-20of-20Thailand/795496100bcc469292a34a4c0d73e3eb,Ace Star International Trading Co Ltd,"Snack,Fruit; Starry Brand
- Freeze-dried Fruits uses only premium-quality fruits in each season. Designed with fascinating packages
- Freeze-dried Thai Dessert
- Fruit Chips
- Soft-dried Mango 
- Gummy Mango; OBM, OEM, Others, ODM","Snack,Fruit; Starry Brand
- Freeze-dried Fruits uses only premium-quality fruits in each season. Designed with fascinating packages
- Freeze-dried Thai Dessert
- Fruit Chips
- Soft-dried Mango 
- Gummy Mango; OBM, OEM, Others, ODM"
