NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
Decoration of Swan,Decoration of Swan,Decoration of Swan,Decoration of Swan,,,,"Fujian Dehua Faith Win Ceramic Co., Ltd.","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM"
Porcelain angel  LED decoration 9.8*5.7*11.2CM,Porcelain angel  LED decoration 9.8*5.7*11.2CM,Porcelain angel  LED decoration 9.8*5.7*11.2CM,Porcelain angel  LED decoration 9.8*5.7*11.2CM,,,,"Fujian Dehua Faith Win Ceramic Co., Ltd.","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM"
ceramic christmas tree  DIY decoration 6*6*12.5CM,ceramic christmas tree  DIY decoration 6*6*12.5CM,ceramic christmas tree  DIY decoration 6*6*12.5CM,ceramic christmas tree  DIY decoration 6*6*12.5CM,,,,"Fujian Dehua Faith Win Ceramic Co., Ltd.","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM"
Storage,Storage,Storage,Storage,,,,"Fujian Dehua Faith Win Ceramic Co., Ltd.","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM"
porcelain electroplating  rabbit,porcelain electroplating  rabbit,porcelain electroplating  rabbit,porcelain electroplating  rabbit,,,,"Fujian Dehua Faith Win Ceramic Co., Ltd.","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM"
dolomite tree DIY,dolomite tree DIY,dolomite tree DIY,dolomite tree DIY,,,,"Fujian Dehua Faith Win Ceramic Co., Ltd.","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM"
Ceramic Halloween DIY decoration,Ceramic Halloween DIY decoration,Ceramic DIY decoration 8.8*8.8*6.6CM,Ceramic DIY decoration 8.8*8.8*6.6CM,,,,"Fujian Dehua Faith Win Ceramic Co., Ltd.","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM"
porcelain nativity LED light decoration 12*7*15.3CM,porcelain nativity LED light decoration 12*7*15.3CM,porcelain nativity LED light decoration 12*7*15.3CM,porcelain nativity LED light decoration 12*7*15.3CM,,,,"Fujian Dehua Faith Win Ceramic Co., Ltd.","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM"
cement flower pot w/plastic plant,cement flower pot w/plastic plant,cement flower pot w/plastic plant,cement flower pot w/plastic plant,,,,"Fujian Dehua Faith Win Ceramic Co., Ltd.","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM"
porcelain rabbit decoration,porcelain rabbit decoration,porcelain rabbit decoration,porcelain rabbit decoration,,,,"Fujian Dehua Faith Win Ceramic Co., Ltd.","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM","Cup & Plate Set,Tabletop Accessories,Tableware,Resin Crafts,Ceramic Crafts; Ceramics, Photo Frame, Decoration; ODM, OEM, OBM"
