NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
Advent Calendar,Advent Calendar,"Advent Calendar; * 16 small boxes make up a picture; * Can be combined into a cylindrical shape; * Matt lamination; * CNY, Mid-autumn Festival, Christmas gift packaging; We can design the corresponding packing box according to your business.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing. Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable","Advent Calendar; * 16 small boxes make up a picture; * Can be combined into a cylindrical shape; * Matt lamination; * CNY, Mid-autumn Festival, Christmas gift packaging; We can design the corresponding packing box according to your business.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing. Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable",,,,Man Sang Envelope Manufacturing Co Ltd,"Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM","Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM"
Tea pack gift box,Tea pack gift box,"Tea pack gift box; * Half open box; * Paper handle; * Simple design; * Hot stamping; * CNY, Mid-autumn Festival, Christmas gift packaging; We can design the corresponding packing box according to your business.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing. Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable","Tea pack gift box; * Half open box; * Paper handle; * Simple design; * Hot stamping; * CNY, Mid-autumn Festival, Christmas gift packaging; We can design the corresponding packing box according to your business.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing. Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable",,,,Man Sang Envelope Manufacturing Co Ltd,"Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM","Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM"
Turntable Advent Calendar,Turntable Advent Calendar,"Turntable Advent Calendar; * Use batteries; * 12 mini boxes for advent calendar; * Craft paper, gold foil; * CNY, Mid-autumn Festival, Christmas gift packaging; We can design the corresponding packing box according to your business.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing. Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable","Turntable Advent Calendar; * Use batteries; * 12 mini boxes for advent calendar; * Craft paper, gold foil; * CNY, Mid-autumn Festival, Christmas gift packaging; We can design the corresponding packing box according to your business.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing. Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable",,,,Man Sang Envelope Manufacturing Co Ltd,"Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM","Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM"
Foldable Wine Box with handle,Foldable Wine Box with handle,"Foldable Wine Box with handle; * Foldable; * With handle; * Craft paper, Rainbow hot stamping; * CNY, Mid-autumn Festival, Christmas gift packaging; We can design the corresponding packing box according to your business.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing. Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable","Foldable Wine Box with handle; * Foldable; * With handle; * Craft paper, Rainbow hot stamping; * CNY, Mid-autumn Festival, Christmas gift packaging; We can design the corresponding packing box according to your business.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing. Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable",,,,Man Sang Envelope Manufacturing Co Ltd,"Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM","Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM"
Advent Calendar (chillax christams),Advent Calendar (chillax christams),Handmade advent calendar for welcome festival celebration.; You can also pack gift in the mini drawer.,Handmade advent calendar for welcome festival celebration.; You can also pack gift in the mini drawer.,,,,Man Sang Envelope Manufacturing Co Ltd,"Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM","Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM"
Tea packs gift box,Tea packs gift box,"Tea packs gift box; * leaf shape design; * PU handle; * Hot stamping; * CNY, Mid-autumn Festival, Christmas gift packaging; We can design the corresponding packing box according to your business.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing. Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable","Tea packs gift box; * leaf shape design; * PU handle; * Hot stamping; * CNY, Mid-autumn Festival, Christmas gift packaging; We can design the corresponding packing box according to your business.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing. Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable",,,,Man Sang Envelope Manufacturing Co Ltd,"Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM","Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM"
Carousel Wineware and Wine gift box,Carousel Wineware and Wine gift box,"Carousel Wineware and Wine gift box; * Carousel design; * inner box can place wineware; * Pantone color, hot stamping; * CNY, Mid-autumn Festival, Christmas gift packaging; We can design the corresponding packing box according to your business.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing. Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable","Carousel Wineware and Wine gift box; * Carousel design; * inner box can place wineware; * Pantone color, hot stamping; * CNY, Mid-autumn Festival, Christmas gift packaging; We can design the corresponding packing box according to your business.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing. Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable",,,,Man Sang Envelope Manufacturing Co Ltd,"Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM","Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM"
Gift box,Gift box,"Gift Box; * Special shape; * Printed after gold foil; * Embossed paper; * CNY, Mid-autumn Festival, Christmas gift packaging; We can design the corresponding packing box according to your business.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing. Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable","Gift Box; * Special shape; * Printed after gold foil; * Embossed paper; * CNY, Mid-autumn Festival, Christmas gift packaging; We can design the corresponding packing box according to your business.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing. Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable",,,,Man Sang Envelope Manufacturing Co Ltd,"Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM","Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM"
Advent Calendar (chillax),Advent Calendar (chillax),"Handmade advent calendar with improved drawers for easy pull out, packing gifts for welcome festival celebration.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing.  Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable","Handmade advent calendar with improved drawers for easy pull out, packing gifts for welcome festival celebration.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing.  Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable",,,,Man Sang Envelope Manufacturing Co Ltd,"Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM","Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM"
Constellations Gift box,Constellations Gift box,"Constellations Gift Box; * Simple Gift Box; * Constellations topic; * Different design for each inner box; * CNY, Mid-autumn Festival, Christmas gift packaging; We can design the corresponding packing box according to your business.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing. Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable","Constellations Gift Box; * Simple Gift Box; * Constellations topic; * Different design for each inner box; * CNY, Mid-autumn Festival, Christmas gift packaging; We can design the corresponding packing box according to your business.; We are high-quality printing company qualified the ISO9001, ISO14001, BRC & FSCTM, also to be an approved supplier of BSCI. Our professional technician operated with different types of high technology printing machines for production. Customized option is available for products or services related to printing. Our professional paper art technique will bring your products or innovation become incomparable in the market. Small amount of customized product will be available. Please contact us for a personalized quotation.; Price : Negotiable",,,,Man Sang Envelope Manufacturing Co Ltd,"Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM","Paper Decoration,Presentation Box,Packaging Design,Cosmetics Packaging,Wine Packaging,Luxury Packaging,Smart Packaging,Jewelry Packaging & Display,Glasses Packaging,Glass Packaging; Gift Boxes, Gifts Packaging, Food Packaging, Customized Gifts, Personalized Gifts, Promotion Materials, Commercial Printing, Graphic & Product Design services.; OEM, ODM"
