NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
Huber 360 Evolution,Huber 360 Evolution,"Motorised multiaxis platform equipped with force sensors, Huber 360 ® Evolution offers an innovative approach to rehabilitation through simultaneous engagement of both physical and cognitive abilities. This unique medical device offers a functional assessment and complete treatment to quickly get back to autonomy, whatever the age and patient type. A wide range of integrated protocols, in a sitting or standing position, allow to rehabilitate the whole body and to optimise sport movements.","Motorised multiaxis platform equipped with force sensors, Huber 360 ® Evolution offers an innovative approach to rehabilitation through simultaneous engagement of both physical and cognitive abilities. This unique medical device offers a functional assessment and complete treatment to quickly get back to autonomy, whatever the age and patient type. A wide range of integrated protocols, in a sitting or standing position, allow to rehabilitate the whole body and to optimise sport movements.",,,,Phoelia (Far East) Company Limited,"Online Shopping Platform, Health Food, Health Supplement, Healthcare Product, Skin Care; Health Food; OEM, Others","Online Shopping Platform, Health Food, Health Supplement, Healthcare Product, Skin Care; Health Food; OEM, Others"
LPG Cellu M6 Alliance,LPG Cellu M6 Alliance,"The latest LPG ® -patented innovation, Cellu M6 Alliance ® Medical, treats all connective tissue transformations (burns, scars, fibrosis, etc.), circulatory disorders and muscular pathologies (lesions, contractures, etc.) naturally and painlessly, without any side effects.; Using specific treatment heads, the device mechanically stimulates the skin surface to reactivate natural physiological processes:; Restore fluid flow; Accelerate vascularisation; Stimulate collagen, elastin, and hyaluronic acid production; Stimulate natural lipolysis; Treatments can considerably reduce symptoms such as: inflammation, fibrosis, pain, loss of joint mobility, muscle tension, stiffness... Treatments contribute to patients’ general well-being by significantly improving their quality of life.","The latest LPG ® -patented innovation, Cellu M6 Alliance ® Medical, treats all connective tissue transformations (burns, scars, fibrosis, etc.), circulatory disorders and muscular pathologies (lesions, contractures, etc.) naturally and painlessly, without any side effects.; Using specific treatment heads, the device mechanically stimulates the skin surface to reactivate natural physiological processes:; Restore fluid flow; Accelerate vascularisation; Stimulate collagen, elastin, and hyaluronic acid production; Stimulate natural lipolysis; Treatments can considerably reduce symptoms such as: inflammation, fibrosis, pain, loss of joint mobility, muscle tension, stiffness... Treatments contribute to patients’ general well-being by significantly improving their quality of life.",,,,Phoelia (Far East) Company Limited,"Online Shopping Platform, Health Food, Health Supplement, Healthcare Product, Skin Care; Health Food; OEM, Others","Online Shopping Platform, Health Food, Health Supplement, Healthcare Product, Skin Care; Health Food; OEM, Others"
LPG Mobilift M6 Connect,LPG Mobilift M6 Connect,"The compact and portable Mobilift M6®️ Connect features patented Ergolift®️ technology, designed to lift, plump, and rejuvenate the face, neck, décolleté, and hands. Its motorized flaps deliver multi-dimensional stimulation, awakening dormant cells to reduce wrinkles, brighten skin, and restore a youthful appearance. This advanced treatment firms, smooths, and revitalizes the skin for a radiant, younger-looking glow.","The compact and portable Mobilift M6®️ Connect features patented Ergolift®️ technology, designed to lift, plump, and rejuvenate the face, neck, décolleté, and hands. Its motorized flaps deliver multi-dimensional stimulation, awakening dormant cells to reduce wrinkles, brighten skin, and restore a youthful appearance. This advanced treatment firms, smooths, and revitalizes the skin for a radiant, younger-looking glow.",,,,Phoelia (Far East) Company Limited,"Online Shopping Platform, Health Food, Health Supplement, Healthcare Product, Skin Care; Health Food; OEM, Others","Online Shopping Platform, Health Food, Health Supplement, Healthcare Product, Skin Care; Health Food; OEM, Others"
Huber 360,Huber 360,Huber 360,Huber 360,,,,Phoelia (Far East) Company Limited,"Online Shopping Platform, Health Food, Health Supplement, Healthcare Product, Skin Care; Health Food; OEM, Others","Online Shopping Platform, Health Food, Health Supplement, Healthcare Product, Skin Care; Health Food; OEM, Others"
Infrared Mask,Infrared Mask,"Removes wrinkles, Lightens freckles,; Tones facial muscles. Relieves headache.","Removes wrinkles, Lightens freckles,; Tones facial muscles. Relieves headache.",,,,Effective Hong Kong Ltd.,Healthcare Product; Infrared Healthcare product; OBM,Healthcare Product; Infrared Healthcare product; OBM
i-Sense 4D Neck Massager,i-Sense 4D Neck Massager,"The third generation (simulating the human hand robotic arm); 1. Simulate human pinching and massage to achieve detailed massage like real human hands; 2. Deep massage, directly reaching the sore fascia, to achieve an overall massage of the shoulder and neck; Large area graphene heating; 1. The graphene heating sheet covers the Tianzhu point, Dazhui point, Bailao point and other acupoints on the neck.; 2. Soften neck blood vessels and relieve neck fatigue; 3. Warm in 3 seconds, very fast heating speed; Free your hands and secure with magnetic buckles; Say goodbye to the traditional hand-pull method and adopt a three-stage magnetic buckle design, suitable for various neck sizes.; Simple control and voice notification; 1. The control is simple and easy to learn, and the three modes of massage can meet the strength needs of different people.; 2. Voice broadcast, you can also know the control content by blind pressing","The third generation (simulating the human hand robotic arm); 1. Simulate human pinching and massage to achieve detailed massage like real human hands; 2. Deep massage, directly reaching the sore fascia, to achieve an overall massage of the shoulder and neck; Large area graphene heating; 1. The graphene heating sheet covers the Tianzhu point, Dazhui point, Bailao point and other acupoints on the neck.; 2. Soften neck blood vessels and relieve neck fatigue; 3. Warm in 3 seconds, very fast heating speed; Free your hands and secure with magnetic buckles; Say goodbye to the traditional hand-pull method and adopt a three-stage magnetic buckle design, suitable for various neck sizes.; Simple control and voice notification; 1. The control is simple and easy to learn, and the three modes of massage can meet the strength needs of different people.; 2. Voice broadcast, you can also know the control content by blind pressing",,,,i-Sense (Asia) Limited,"Healthcare Product, Sports Accessories, Personal Care Product; i-Sense; OEM","Healthcare Product, Sports Accessories, Personal Care Product; i-Sense; OEM"
i-Sense Professional Arch Insole,i-Sense Professional Arch Insole,Professional Arch insole with built-in air flow system .,Professional Arch insole with built-in air flow system .,,,,i-Sense (Asia) Limited,"Healthcare Product, Sports Accessories, Personal Care Product; i-Sense; OEM","Healthcare Product, Sports Accessories, Personal Care Product; i-Sense; OEM"
Healthcare Product - iSpring,Healthcare Product - iSpring,Healthcare Product - iSpring,Healthcare Product - iSpring,,,,IPC Works Limited,"Personal Care Product, Healthcare Product, Health Supplement; Brand:PicoLabb
The proprietary Pico technology from PicoLabb helps to improve health. The rapid development of PicoLabb breakthroughs traditional healthcare & beauty concepts to enter a new stage of healthcare & beauty.; OBM","Personal Care Product, Healthcare Product, Health Supplement; Brand:PicoLabb
The proprietary Pico technology from PicoLabb helps to improve health. The rapid development of PicoLabb breakthroughs traditional healthcare & beauty concepts to enter a new stage of healthcare & beauty.; OBM"
Healthcare Product - iWand 2,Healthcare Product - iWand 2,Healthcare Product - iWand 2,Healthcare Product - iWand 2,,,,IPC Works Limited,"Personal Care Product, Healthcare Product, Health Supplement; Brand:PicoLabb
The proprietary Pico technology from PicoLabb helps to improve health. The rapid development of PicoLabb breakthroughs traditional healthcare & beauty concepts to enter a new stage of healthcare & beauty.; OBM","Personal Care Product, Healthcare Product, Health Supplement; Brand:PicoLabb
The proprietary Pico technology from PicoLabb helps to improve health. The rapid development of PicoLabb breakthroughs traditional healthcare & beauty concepts to enter a new stage of healthcare & beauty.; OBM"
Healthcare Product - iVoice Slim / Classic / Clip,Healthcare Product - iVoice Slim / Classic / Clip,Healthcare Product - iVoice Slim / Classic / Clip,Healthcare Product - iVoice Slim / Classic / Clip,,,,IPC Works Limited,"Personal Care Product, Healthcare Product, Health Supplement; Brand:PicoLabb
The proprietary Pico technology from PicoLabb helps to improve health. The rapid development of PicoLabb breakthroughs traditional healthcare & beauty concepts to enter a new stage of healthcare & beauty.; OBM","Personal Care Product, Healthcare Product, Health Supplement; Brand:PicoLabb
The proprietary Pico technology from PicoLabb helps to improve health. The rapid development of PicoLabb breakthroughs traditional healthcare & beauty concepts to enter a new stage of healthcare & beauty.; OBM"
