NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
"Ningbo Yaado Lighting Co., Ltd.","Ningbo Yaado Lighting Co., Ltd.",Chinese Mainland,"Table Lamp,Lawn Light,Indoor Lighting,Kitchen Lighting","Table Lamp,Lawn Light,Indoor Lighting,Kitchen Lighting",,Exhibitor,Hong Kong International Lighting Fair (Spring Edition),1D-A24,Hall of Aurora,,1,,,"Table Lamp,Lawn Light,Indoor Lighting,Kitchen Lighting; LED table lamp, LED cabinet lamp, LED solar lamp, OEM & ODM; OEM, ODM","Table Lamp,Lawn Light,Indoor Lighting,Kitchen Lighting; LED table lamp, LED cabinet lamp, LED solar lamp, OEM & ODM; OEM, ODM",https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005JTGV,2,https://www.hktdc.com/event/hklightingfairse/en/product/1Z03O8R30; https://www.hktdc.com/event/hklightingfairse/en/product/1Z03O8R30
Foshan Ronse Lighting Technology Co Ltd,Foshan Ronse Lighting Technology Co Ltd,Chinese Mainland,"Founded in 2010,RONSE lighting manufactures high quality of LED track light and down light etc.lighting products in Foshan city,Guangdong.","Founded in 2010,RONSE lighting manufactures high quality of LED track light and down light etc.lighting products in Foshan city,Guangdong.",,Exhibitor,Hong Kong International Lighting Fair (Spring Edition),1C-F27,Hall of Aurora,Mainland China (Guangdong) - Lighting,1,,,"Spotlight,Downlight,Track Light,Office Lighting,Retail Lighting; Services
-Lighting products development, manufacture lighting engineering
-Customized lighting services
-OEM, ODM, SKD of empty housing.
-Flexible payment term for long term cooperation.
-Designated stock products for short delivery.; ODM, OEM","Spotlight,Downlight,Track Light,Office Lighting,Retail Lighting; Services
-Lighting products development, manufacture lighting engineering
-Customized lighting services
-OEM, ODM, SKD of empty housing.
-Flexible payment term for long term cooperation.
-Designated stock products for short delivery.; ODM, OEM",https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K9PO,2,https://www.hktdc.com/event/hklightingfairse/en/product/1Z03ODR5U; https://www.hktdc.com/event/hklightingfairse/en/product/1Z03ODR5U
"Xusheng Lighting Co., Ltd.","Xusheng Lighting Co., Ltd.",Hong Kong,Xushenglighting is a factory engaged in commercial lights with over 10 years experience in R&D and assembly,Xushenglighting is a factory engaged in commercial lights with over 10 years experience in R&D and assembly,,Exhibitor,Hong Kong International Lighting Fair (Spring Edition),1E-D02,Hall of Aurora,,1,,,"Ceiling Light,Wall Lamp,Chandelier,Spotlight,Downlight,Track Light,LED Lighting; Commercial Lights, Magnetic Lights, Smart System; OEM, ODM, OBM","Ceiling Light,Wall Lamp,Chandelier,Spotlight,Downlight,Track Light,LED Lighting; Commercial Lights, Magnetic Lights, Smart System; OEM, ODM, OBM",https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005ICQI,2,https://www.hktdc.com/event/hklightingfairse/en/product/1Z03O81WB; https://www.hktdc.com/event/hklightingfairse/en/product/1Z03O81WB
"Shaoxing Shangyu Mingji Plastic Co., Ltd.","Shaoxing Shangyu Mingji Plastic Co., Ltd.",Chinese Mainland,"The company founded in 2006, specialized in LED EMERGENCY EXIT SIGN / LIGHTS, the products are exported to North America / Middle East / South America. All the products are UL approved.","The company founded in 2006, specialized in LED EMERGENCY EXIT SIGN / LIGHTS, the products are exported to North America / Middle East / South America. All the products are UL approved.",,Exhibitor,Hong Kong International Lighting Fair (Spring Edition),3D-A05,Technical Lighting,,1,,,"Exit Light,LED Lighting,Emergency & Professional Lighting; LED Emergency Exit Sign / Lights Manufacturer, the products are exported to North America, South America, Middle East. All the products are UL approved.; OEM","Exit Light,LED Lighting,Emergency & Professional Lighting; LED Emergency Exit Sign / Lights Manufacturer, the products are exported to North America, South America, Middle East. All the products are UL approved.; OEM",https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K06I,2,https://www.hktdc.com/event/hklightingfairse/en/product/1Z03LQH1G; https://www.hktdc.com/event/hklightingfairse/en/product/1Z03LQH1G
"Shanghai Wellmax Lighting Industry Co.,Ltd.","Shanghai Wellmax Lighting Industry Co.,Ltd.",Chinese Mainland,"Wellmax Lighting is a leading lighting company that focuses on the innovation and manufacture of LED bulbs. We were founded in 1987, and now a top exporter of LED bulbs in Shanghai.","Wellmax Lighting is a leading lighting company that focuses on the innovation and manufacture of LED bulbs. We were founded in 1987, and now a top exporter of LED bulbs in Shanghai.",,Exhibitor,Hong Kong International Lighting Fair (Spring Edition),1C-C02,Hall of Aurora,,1,,,"Sensor Light,PAR Bulb,LED Bulb,Outdoor Floodlight,Indoor Lighting,Solar Lights; LED bulb experts; ODM, OEM","Sensor Light,PAR Bulb,LED Bulb,Outdoor Floodlight,Indoor Lighting,Solar Lights; LED bulb experts; ODM, OEM",https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K03R,2,https://www.hktdc.com/event/hklightingfairse/en/product/1Z03OM9HC; https://www.hktdc.com/event/hklightingfairse/en/product/1Z03OM9HC
Evermore Enterprise (Zhejiang) Ltd,Evermore Enterprise (Zhejiang) Ltd,Chinese Mainland,"Decorative Lamp,String Light,Strip Light,LED Lighting,Contemporary Light,Christmas Light","Decorative Lamp,String Light,Strip Light,LED Lighting,Contemporary Light,Christmas Light",,Exhibitor,Hong Kong International Lighting Fair (Spring Edition),1E-B02,Hall of Aurora,,1,,,"Decorative Lamp,String Light,Strip Light,LED Lighting,Contemporary Light,Christmas Light; Star Iron Frame Home Decoration Light
Size:50*8*50cm covered with copper wire LED,total about 50 LEDs,500cm leading cable with IP44 transformer.
It can be used for outdoor,new design for 2023.; Others","Decorative Lamp,String Light,Strip Light,LED Lighting,Contemporary Light,Christmas Light; Star Iron Frame Home Decoration Light
Size:50*8*50cm covered with copper wire LED,total about 50 LEDs,500cm leading cable with IP44 transformer.
It can be used for outdoor,new design for 2023.; Others",https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K0TL,2,https://www.hktdc.com/event/hklightingfairse/en/product/1Z03NL4UE; https://www.hktdc.com/event/hklightingfairse/en/product/1Z03NL4UE
"Adision Lighting (HK) Co., Limited","Adision Lighting (HK) Co., Limited",Hong Kong,"Adision Lighting Group founded in 2009, is a state-tech enterprise and registered company. Currently there are over 200 employees, and a fabrication area of more than 15,000 square meters. Our company has advanced LED luminaire manufacturing facilities such as auto soldering and SMT machines, electric testing device such as integrating spheres and distri-bution photometer. We also have a professionally trained QC team to ensure the quality of all the products. All products are ETL/CETL, UL/CUL, Titile24, Energy Star Certified. Adision Lighting enjoys a high reputation as a LED luminaire supplier throughout North America & Canada market. Adision devotes itself to develop new products with state-of-the-art technologies. Our 30 people R&D teams has abundant experience in industrial design, electric driver, heat simu-lation analysis, optical lens design light control system, Most of the products are self-designed with private moulds, we monthly develop more than 2 new products and 10 customized products. Our excellent sales and after-sales team are always at your service and will take good care of you, our valued customer.","Adision Lighting Group founded in 2009, is a state-tech enterprise and registered company. Currently there are over 200 employees, and a fabrication area of more than 15,000 square meters. Our company has advanced LED luminaire manufacturing facilities such as auto soldering and SMT machines, electric testing device such as integrating spheres and distri-bution photometer. We also have a professionally trained QC team to ensure the quality of all the products. All products are ETL/CETL, UL/CUL, Titile24, Energy Star Certified. Adision Lighting enjoys a high reputation as a LED luminaire supplier throughout North America & Canada market. Adision devotes itself to develop new products with state-of-the-art technologies. Our 30 people R&D teams has abundant experience in industrial design, electric driver, heat simu-lation analysis, optical lens design light control system, Most of the products are self-designed with private moulds, we monthly develop more than 2 new products and 10 customized products. Our excellent sales and after-sales team are always at your service and will take good care of you, our valued customer.",,Exhibitor,Hong Kong International Lighting Fair (Spring Edition),3C-D02,Commercial Lighting,,1,,,"Wall Lamp,Spotlight,Downlight,Track Light,Lighting Accessories & Lamp Parts,Lighting Fixture,LED Lighting,LED Converter,LED Driver,LED Panel Light; Downlight, Wall lamp, Spot Lamp; ODM","Wall Lamp,Spotlight,Downlight,Track Light,Lighting Accessories & Lamp Parts,Lighting Fixture,LED Lighting,LED Converter,LED Driver,LED Panel Light; Downlight, Wall lamp, Spot Lamp; ODM",https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005JP5W,2,https://www.hktdc.com/event/hklightingfairse/en/product/1Z03NCR7O; https://www.hktdc.com/event/hklightingfairse/en/product/1Z03NCR7O
"Sheenly Lighting Co., Ltd.","Sheenly Lighting Co., Ltd.",Chinese Mainland,"Sheenly Lighting Co. Ltd is an industrial leading LED lighting company specializing in manufacturing of innovative LED lighting solutions that improves lighting quality, energy efficiency and enhances environmental sustainability.","Sheenly Lighting Co. Ltd is an industrial leading LED lighting company specializing in manufacturing of innovative LED lighting solutions that improves lighting quality, energy efficiency and enhances environmental sustainability.",,Exhibitor,Hong Kong International Lighting Fair (Spring Edition),1C-C10,Hall of Aurora,,1,,,"Ceiling Light,Downlight,Lighting Fixture,LED Lighting,LED Panel Light,High Bay Light,Indoor Lighting,Industrial Lighting,Office Lighting; Sheenly Lighting not only offers products but also the whole LEDlighting solution.; OBM, ODM","Ceiling Light,Downlight,Lighting Fixture,LED Lighting,LED Panel Light,High Bay Light,Indoor Lighting,Industrial Lighting,Office Lighting; Sheenly Lighting not only offers products but also the whole LEDlighting solution.; OBM, ODM",https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K0N3,2,https://www.hktdc.com/event/hklightingfairse/en/product/1X1KNE4Q; https://www.hktdc.com/event/hklightingfairse/en/product/1X1KNE4Q
Kte Electrical Limited,Kte Electrical Limited,Hong Kong,"We Leaves LED Lighting company establish in 2008, and we located in GUZHEN, Zhongshan, which is called LIGHTING CITY. Our main purpose is promoted environment business, and we have advanced LED technology. We play to our strengths to match the sign of the times, and we want to present a unique pursuit of life. When the lamp is still shining as before, it will no longer be an ordinary lighting role, but a ray of sunshine embellishing your life, an attitude towards life, and a reverence for nature. The spirit of craftsmen is a virtue of Chinese traditional culture, energy conservation and environmental protection are the concept advocated by the times. With the original intention and following the concept, Leaves LED Lighting has brought the technology of DIY (do it yourself) mixed into the lamp. In the lighting industry, DIY concept technology is an unprecedented concept, Leaves LED lighting will take this technology to stand on a new track to lead the way.","We Leaves LED Lighting company establish in 2008, and we located in GUZHEN, Zhongshan, which is called LIGHTING CITY. Our main purpose is promoted environment business, and we have advanced LED technology. We play to our strengths to match the sign of the times, and we want to present a unique pursuit of life. When the lamp is still shining as before, it will no longer be an ordinary lighting role, but a ray of sunshine embellishing your life, an attitude towards life, and a reverence for nature. The spirit of craftsmen is a virtue of Chinese traditional culture, energy conservation and environmental protection are the concept advocated by the times. With the original intention and following the concept, Leaves LED Lighting has brought the technology of DIY (do it yourself) mixed into the lamp. In the lighting industry, DIY concept technology is an unprecedented concept, Leaves LED lighting will take this technology to stand on a new track to lead the way.",,Exhibitor,Hong Kong International Lighting Fair (Spring Edition),1E-E24,Hall of Aurora,,1,,,"Camping Light,Spotlight,Track Light,Lighting Fixture,LED Lighting,Outdoor Floodlight,Indoor Lighting,Contemporary Light,Office Lighting; Creative low-voltage module lamp with independent invention patent; ODM, OEM","Camping Light,Spotlight,Track Light,Lighting Fixture,LED Lighting,Outdoor Floodlight,Indoor Lighting,Contemporary Light,Office Lighting; Creative low-voltage module lamp with independent invention patent; ODM, OEM",https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005ICT9,2,https://www.hktdc.com/event/hklightingfairse/en/product/1Z03IYO19; https://www.hktdc.com/event/hklightingfairse/en/product/1Z03IYO19
"Shenzhen Coreshine Optoelectronics Co., Ltd.","Shenzhen Coreshine Optoelectronics Co., Ltd.",Chinese Mainland,"Shenzhen Coreshine Optoelectronics Co. Ltd., established in 2005, is a high-tech enterprise gathering the R&D, production, global sales and after-sale service of LED linear lighting system. We are supplying LED Linear lighting system for more than 50 countires, mainly used to commercial applications such as supermarket, retail store, shopping mall, car parking etc, Industrial applications such as warehouse, production line, workshop etc The whole products passed TUV, CE, RoHS, ENEC,GS, UL, DLC,FCC, SAA certificates with 5-7year warranty.","Shenzhen Coreshine Optoelectronics Co. Ltd., established in 2005, is a high-tech enterprise gathering the R&D, production, global sales and after-sale service of LED linear lighting system. We are supplying LED Linear lighting system for more than 50 countires, mainly used to commercial applications such as supermarket, retail store, shopping mall, car parking etc, Industrial applications such as warehouse, production line, workshop etc The whole products passed TUV, CE, RoHS, ENEC,GS, UL, DLC,FCC, SAA certificates with 5-7year warranty.",,Exhibitor,Hong Kong International Lighting Fair (Spring Edition),1E-A02,Hall of Aurora,,1,,,"LED Lighting,Industrial Lighting,Office Lighting,Retail Lighting; Coreshine linear lighting system is not a simple light, it is more a sophisticated lighting solution. With its advantage of energy-efficient, low maintance cost and convenient installation, it's very popular in industrial and commercial project light; OEM, ODM","LED Lighting,Industrial Lighting,Office Lighting,Retail Lighting; Coreshine linear lighting system is not a simple light, it is more a sophisticated lighting solution. With its advantage of energy-efficient, low maintance cost and convenient installation, it's very popular in industrial and commercial project light; OEM, ODM",https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005KDON,2,https://www.hktdc.com/event/hklightingfairse/en/product/1X216WTJ; https://www.hktdc.com/event/hklightingfairse/en/product/1X216WTJ
